pic_num,training_loop.thisRepN,training_loop.thisTrialN,training_loop.thisN,training_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_text.started,intro_click.started,intro_click.x,intro_click.y,intro_click.leftButton,intro_click.midButton,intro_click.rightButton,intro_click.time,show_images.started,image0_name,image0_position,image1_name,image1_position,image2_name,image2_position,image3_name,image3_position,image4_name,image4_position,image5_name,image5_position,image6_name,image6_position,image7_name,image7_position,image8_name,image8_position,image9_name,image9_position,image10_name,image10_position,image11_name,image11_position,image12_name,image12_position,image0.started,image1.started,image2.started,image3.started,image4.started,image5.started,image6.started,image7.started,image8.started,image9.started,image10.started,image11.started,image12.started,show_images.stopped,blank_screen.started,blank_text.started,blank_text.stopped,blank_screen.stopped,show_images_changed.started,correct_image,correct_image_name,correct_image_pos,image0_2.started,image1_2.started,image2_2.started,image3_2.started,image4_2.started,image5_2.started,image6_2.started,image7_2.started,image8_2.started,image9_2.started,image10_2.started,image11_2.started,image12_2.started,mouse.started,show_images_changed.stopped,is_correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,feedback.started,feedback_text.started,feedback_text.stopped,feedback.stopped,begin_real_trial.started,text.started,begin_real_trial.stopped,so_long_and_thanks_for_all_the_fish.started,goodbye_text.started,goodbye_click.started,so_long_and_thanks_for_all_the_fish.stopped,goodbye_click.x,goodbye_click.y,goodbye_click.leftButton,goodbye_click.midButton,goodbye_click.rightButton,goodbye_click.time,id,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.016202833969146013,0.008369666989892721,[0.03984375],[-0.09444444444444444],[1],[0],[0],[17.44512224989012],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bence,31,2024-05-06_22h09.07.385,visual_memory,2024.1.4,None,2024-05-06 22h09.20.794659 +0200,
,,,,,,,,,,,,,80.89570762496442,,,,,,,,,,80.63473770907149,vodor.png,"[0.25, -0.25]",kamera.png,"[-0.75, 0.25]",szemuveg.png,"[-0.25, 0.75]",laptop.png,"[0.75, 0.75]",kad.png,"[0.25, 0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",80.89570762496442,80.89570762496442,80.89570762496442,80.89570762496442,80.89570762496442,80.89570762496442,80.89570762496442,80.89570762496442,80.89570762496442,80.89570762496442,80.89570762496442,80.89570762496442,80.89570762496442,90.62576658395119,90.62578279199079,90.63013733411208,91.37618583394215,91.11562291695736,91.11564616695978,image4_2,papucs.png,"[0.25, 0.75]",92.6312907920219,92.6312907920219,92.6312907920219,92.6312907920219,92.6312907920219,92.6312907920219,92.6312907920219,92.6312907920219,92.6312907920219,92.6312907920219,92.6312907920219,92.6312907920219,92.6312907920219,0.005745874950662255,94.38009633403271,True,[0.384375],[0.6902777777777778],[1],[0],[0],[1.748118249932304],['image4_2'],['papucs.png'],94.3806281669531,94.38544683391228,96.38050837512128,96.37064220895991,96.37070862506516,96.38050837512128,99.94093820895068,,,,,,,,,,,Bence,31,2024-05-06_22h09.07.385,visual_memory,2024.1.4,None,2024-05-06 22h09.20.794659 +0200,
5,,,,,0,0,0,0,0,0,0,0,100.21224329201505,,,,,,,,,,99.95504670892842,fotel.png,"[-0.25, 0.75]",macko.png,"[-0.75, -0.25]",vodor.png,"[-0.75, 0.25]",kad.png,"[0.25, 0.25]",esernyo.png,"[-0.25, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",100.21224329201505,100.21224329201505,100.21224329201505,100.21224329201505,100.21224329201505,100.21224329201505,100.21224329201505,100.21224329201505,100.21224329201505,100.21224329201505,100.21224329201505,100.21224329201505,100.21224329201505,109.92512512509711,114.32206887495704,114.32799612497911,115.06291045900434,114.81297983392142,110.41457941709086,image4_2,fogas.png,"[-0.25, -0.75]",111.93187420908362,111.93187420908362,111.93187420908362,111.93187420908362,111.93187420908362,111.93187420908362,111.93187420908362,111.93187420908362,111.93187420908362,111.93187420908362,111.93187420908362,111.93187420908362,111.93187420908362,0.006986666936427355,114.32119266712107,False,[-0.31171875],[0.6625],[1],[0],[0],[2.3885405838955194],['image0_2'],['fotel.png'],,,,,,,,,,,,,,,,,,Bence,31,2024-05-06_22h09.07.385,visual_memory,2024.1.4,None,2024-05-06 22h09.20.794659 +0200,
5,,,,,0,0,0,0,1,0,1,0,115.06291045900434,,,,,,,,,,114.81332120904699,szemuveg.png,"[0.25, 0.75]",fogas.png,"[-0.25, 0.25]",papucs.png,"[0.25, -0.25]",hajszarito.png,"[0.25, 0.25]",laptop.png,"[0.75, -0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",116.3352019591257,116.3352019591257,116.3352019591257,116.3352019591257,116.3352019591257,116.3352019591257,116.3352019591257,116.3352019591257,116.3352019591257,116.3352019591257,116.3352019591257,116.3352019591257,116.3352019591257,126.30600691703148,130.39576079207473,130.39998004212976,131.1469267499633,130.8939193340484,126.79566575004719,image4_2,ceruza.png,"[0.75, -0.25]",128.31162824993953,128.31162824993953,128.31162824993953,128.31162824993953,128.31162824993953,128.31162824993953,128.31162824993953,128.31162824993953,128.31162824993953,128.31162824993953,128.31162824993953,128.31162824993953,128.31162824993953,0.005813207942992449,130.3951540000271,False,[-0.31484375],[0.22916666666666666],[1],[0],[0],[2.0825953751336783],['image1_2'],['fogas.png'],,,,,,,,,,,,,,,,,,Bence,31,2024-05-06_22h09.07.385,visual_memory,2024.1.4,None,2024-05-06 22h09.20.794659 +0200,
5,,,,,0,0,0,0,2,0,2,0,131.1469267499633,,,,,,,,,,130.89440791704692,ollo.png,"[0.75, 0.25]",hajszarito.png,"[0.75, -0.75]",vodor.png,"[-0.25, -0.25]",kamera.png,"[-0.25, -0.75]",macko.png,"[0.25, 0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",132.40136754210107,132.40136754210107,132.40136754210107,132.40136754210107,132.40136754210107,132.40136754210107,132.40136754210107,132.40136754210107,132.40136754210107,132.40136754210107,132.40136754210107,132.40136754210107,132.40136754210107,142.3858527499251,145.50719870906323,145.51133279199712,146.2714383751154,145.99534412496723,142.87504916707985,image4_2,alma.png,"[0.25, 0.25]",144.39178441697732,144.39178441697732,144.39178441697732,144.39178441697732,144.39178441697732,144.39178441697732,144.39178441697732,144.39178441697732,144.39178441697732,144.39178441697732,144.39178441697732,144.39178441697732,144.39178441697732,0.006132249953225255,145.50670470902696,True,[0.31328125],[0.25555555555555554],[1],[0],[0],[1.114279666915536],['image4_2'],['alma.png'],,,,,,,,,,,,,,,,,,Bence,31,2024-05-06_22h09.07.385,visual_memory,2024.1.4,None,2024-05-06 22h09.20.794659 +0200,
5,,,,,0,0,0,0,3,0,3,0,146.2714383751154,,,,,,,,,,145.99571258411743,papucs.png,"[0.25, -0.75]",kamera.png,"[0.25, -0.25]",fagyi.png,"[0.75, 0.25]",fotel.png,"[0.75, -0.25]",hajszarito.png,"[-0.25, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",147.5119305420667,147.5119305420667,147.5119305420667,147.5119305420667,147.5119305420667,147.5119305420667,147.5119305420667,147.5119305420667,147.5119305420667,147.5119305420667,147.5119305420667,147.5119305420667,147.5119305420667,157.4982115419116,161.57686745910905,161.58542341692373,162.32875637500547,162.06899212510325,157.98771525011398,image4_2,bogre.png,"[-0.25, -0.75]",159.50208912510425,159.50208912510425,159.50208912510425,159.50208912510425,159.50208912510425,159.50208912510425,159.50208912510425,159.50208912510425,159.50208912510425,159.50208912510425,159.50208912510425,159.50208912510425,159.50208912510425,0.004073041025549173,161.5762717500329,True,[-0.221875],[-0.7055555555555556],[1],[0],[0],[2.0735439171548933],['image4_2'],['bogre.png'],,,,,,,,,,,,,,,,,,Bence,31,2024-05-06_22h09.07.385,visual_memory,2024.1.4,None,2024-05-06 22h09.20.794659 +0200,
5,,,,,0,0,0,0,4,0,4,0,162.32875637500547,,,,,,,,,,162.06938266707584,letra.png,"[0.25, 0.75]",kad.png,"[-0.75, -0.75]",fagyi.png,"[0.25, -0.25]",fotel.png,"[-0.25, 0.75]",auto.png,"[0.75, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",163.5920408749953,163.5920408749953,163.5920408749953,163.5920408749953,163.5920408749953,163.5920408749953,163.5920408749953,163.5920408749953,163.5920408749953,163.5920408749953,163.5920408749953,163.5920408749953,163.5920408749953,173.56162704201415,177.99018600001,177.99853162514046,178.92776391701773,178.48312779213302,174.0525019171182,image4_2,ollo.png,"[0.75, -0.75]",175.565630834084,175.565630834084,175.565630834084,175.565630834084,175.565630834084,175.565630834084,175.565630834084,175.565630834084,175.565630834084,175.565630834084,175.565630834084,175.565630834084,175.565630834084,0.004198666894808412,177.98964308411814,True,[0.7484375],[-0.6861111111111111],[1],[0],[0],[2.423431374831125],['image4_2'],['ollo.png'],,,,,,,,,,,,,,,,,,Bence,31,2024-05-06_22h09.07.385,visual_memory,2024.1.4,None,2024-05-06 22h09.20.794659 +0200,
5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bence,31,2024-05-06_22h09.07.385,visual_memory,2024.1.4,None,2024-05-06 22h09.20.794659 +0200,
9,,,,,0,1,1,1,0,0,0,0,178.92776391701773,,,,,,,,,,178.48494266695343,zokni.png,"[-0.75, 0.25]",bogre.png,"[0.25, -0.25]",kad.png,"[0.75, -0.75]",szemuveg.png,"[-0.25, 0.75]",alma.png,"[0.75, -0.25]",auto.png,"[0.75, 0.75]",ceruza.png,"[0.25, 0.75]",ora.png,"[-0.75, -0.75]",letra.png,"[0.25, 0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",180.00674708397128,180.00674708397128,180.00674708397128,180.00674708397128,180.00674708397128,180.00674708397128,180.00674708397128,180.00674708397128,180.00674708397128,180.00674708397128,180.00674708397128,180.00674708397128,180.00674708397128,189.9753332089167,197.5666703339666,197.57048312504776,198.48676600004546,198.0538422500249,190.46565766702406,image8_2,esernyo.png,"[0.25, 0.25]",191.98279833397828,191.98279833397828,191.98279833397828,191.98279833397828,191.98279833397828,191.98279833397828,191.98279833397828,191.98279833397828,191.98279833397828,191.98279833397828,191.98279833397828,191.98279833397828,191.98279833397828,0.0076751250308007,197.56584533397108,False,[0.66796875],[-0.21666666666666667],[1],[0],[0],[5.582485917024314],['image4_2'],['alma.png'],,,,,,,,,,,,,,,,,,Bence,31,2024-05-06_22h09.07.385,visual_memory,2024.1.4,None,2024-05-06 22h09.20.794659 +0200,
9,,,,,0,1,1,1,1,0,1,0,198.48676600004546,,,,,,,,,,198.05421183397993,fagyi.png,"[-0.75, 0.75]",alma.png,"[0.25, -0.75]",fotel.png,"[0.75, 0.25]",fogas.png,"[-0.25, -0.75]",ceruza.png,"[0.25, -0.25]",szemuveg.png,"[-0.75, 0.25]",papucs.png,"[0.75, -0.75]",kamera.png,"[-0.25, -0.25]",ora.png,"[0.75, -0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",199.5732358749956,199.5732358749956,199.5732358749956,199.5732358749956,199.5732358749956,199.5732358749956,199.5732358749956,199.5732358749956,199.5732358749956,199.5732358749956,199.5732358749956,199.5732358749956,199.5732358749956,209.55203483393416,219.27597733400762,219.28253133408725,220.19780379207805,219.7668472919613,210.0427418339532,image8_2,macko.png,"[0.75, -0.25]",211.56704233400524,211.56704233400524,211.56704233400524,211.56704233400524,211.56704233400524,211.56704233400524,211.56704233400524,211.56704233400524,211.56704233400524,211.56704233400524,211.56704233400524,211.56704233400524,211.56704233400524,0.01523716701194644,219.2754481250886,False,[0.64375],[0.28055555555555556],[1],[0],[0],[7.707783542107791],['image2_2'],['fotel.png'],,,,,,,,,,,,,,,,,,Bence,31,2024-05-06_22h09.07.385,visual_memory,2024.1.4,None,2024-05-06 22h09.20.794659 +0200,
