pic_num;training_loop.thisRepN;training_loop.thisTrialN;training_loop.thisN;training_loop.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;thisRow.t;notes;intro_text.started;intro_click.started;intro_click.x;intro_click.y;intro_click.leftButton;intro_click.midButton;intro_click.rightButton;intro_click.time;show_images.started;image0_name;image0_position;image1_name;image1_position;image2_name;image2_position;image3_name;image3_position;image4_name;image4_position;image5_name;image5_position;image6_name;image6_position;image7_name;image7_position;image8_name;image8_position;image9_name;image9_position;image10_name;image10_position;image11_name;image11_position;image12_name;image12_position;image0.started;image1.started;image2.started;image3.started;image4.started;image5.started;image6.started;image7.started;image8.started;image9.started;image10.started;image11.started;image12.started;show_images.stopped;blank_screen.started;blank_text.started;blank_text.stopped;blank_screen.stopped;show_images_changed.started;correct_image;correct_image_name;correct_image_pos;image0_2.started;image1_2.started;image2_2.started;image3_2.started;image4_2.started;image5_2.started;image6_2.started;image7_2.started;image8_2.started;image9_2.started;image10_2.started;image11_2.started;image12_2.started;mouse.started;show_images_changed.stopped;is_correct;mouse.x;mouse.y;mouse.leftButton;mouse.midButton;mouse.rightButton;mouse.time;mouse.clicked_name;mouse.clicked_image;feedback.started;feedback_text.started;feedback.stopped;begin_real_trial.started;text.started;begin_real_trial.stopped;so_long_and_thanks_for_all_the_fish.started;goodbye_text.started;goodbye_click.started;so_long_and_thanks_for_all_the_fish.stopped;goodbye_click.x;goodbye_click.y;goodbye_click.leftButton;goodbye_click.midButton;goodbye_click.rightButton;goodbye_click.time;id;age;date;expName;psychopyVersion;frameRate;expStart
;;;;;;;;;;;;;;;0.03603129996918142;0.013845499837771058;[-0.10208333333333333];[0.23148148148148148];[1];[0];[0];[27.054358300054446];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SO4;18;2024-04-26_17h22.22.706;visual_memory;2023.02.03;None;2024-04-26 17h22.38.828140 +0200
;;;;;;;;;;;;;92.6301281999331;;;;;;;;;;92.27682869997807;esernyo.png;[0.25, 0.25];fotel.png;[-0.75, 0.75];fogas.png;[-0.25, -0.25];vodor.png;[0.75, -0.75];ora.png;[0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];92.6301281999331;92.6301281999331;92.6301281999331;92.6301281999331;92.6301281999331;92.6301281999331;92.6301281999331;92.6301281999331;92.6301281999331;92.6301281999331;92.6301281999331;92.6301281999331;92.6301281999331;102.26155169983394;102.26158219994977;102.28018279979005;103.11639370000921;102.77216689987108;102.77218969981186;image4_2;szemuveg.png;[0.75, 0.75];104.29147950001061;104.29147950001061;104.29147950001061;104.29147950001061;104.29147950001061;104.29147950001061;104.29147950001061;104.29147950001061;104.29147950001061;104.29147950001061;104.29147950001061;104.29147950001061;104.29147950001061;0.030151199782267213;106.20539119979367;True;[0.7510416666666667];[0.6333333333333333];[1];[0];[0];[1.912838000105694];['image4_2'];['szemuveg.png'];106.206727999961;106.22692379984073;108.22404559981078;108.2241120999679;108.25057129980996;118.54689339990728;;;;;;;;;;;SO4;18;2024-04-26_17h22.22.706;visual_memory;2023.02.03;None;2024-04-26 17h22.38.828140 +0200
5;;;;;0;0;0;0;0;0;0;0;118.91405000002123;;;;;;;;;;118.56111709983088;fotel.png;[0.75, 0.75];letra.png;[0.25, 0.75];laptop.png;[-0.75, -0.25];kamera.png;[0.75, 0.25];zokni.png;[-0.25, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];118.91405000002123;118.91405000002123;118.91405000002123;118.91405000002123;118.91405000002123;118.91405000002123;118.91405000002123;118.91405000002123;118.91405000002123;118.91405000002123;118.91405000002123;118.91405000002123;118.91405000002123;128.55271560000256;137.51580869988538;137.53343939990737;138.36868509999476;138.02511259983294;129.0708363999147;image4_2;esernyo.png;[-0.25, 0.75];130.57092959992588;130.57092959992588;130.57092959992588;130.57092959992588;130.57092959992588;130.57092959992588;130.57092959992588;130.57092959992588;130.57092959992588;130.57092959992588;130.57092959992588;130.57092959992588;130.57092959992588;0.018602000083774328;137.5143749997951;True;[-0.15625];[0.7185185185185186];[1];[0];[0];[6.942447100067511];['image4_2'];['esernyo.png'];;;;;;;;;;;;;;;;;SO4;18;2024-04-26_17h22.22.706;visual_memory;2023.02.03;None;2024-04-26 17h22.38.828140 +0200
5;;;;;0;0;0;0;1;0;1;0;138.36868509999476;;;;;;;;;;138.0255286998581;auto.png;[-0.75, -0.25];fotel.png;[-0.25, 0.75];fogas.png;[-0.25, -0.75];hajszarito.png;[-0.25, -0.25];vodor.png;[0.25, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];139.5401250999421;139.5401250999421;139.5401250999421;139.5401250999421;139.5401250999421;139.5401250999421;139.5401250999421;139.5401250999421;139.5401250999421;139.5401250999421;139.5401250999421;139.5401250999421;139.5401250999421;149.50757019990124;158.72903499985114;158.7473145998083;159.58597689983435;159.24948699981906;150.01943039987236;image4_2;zokni.png;[0.25, -0.75];151.536845699884;151.536845699884;151.536845699884;151.536845699884;151.536845699884;151.536845699884;151.536845699884;151.536845699884;151.536845699884;151.536845699884;151.536845699884;151.536845699884;151.536845699884;0.02949610003270209;158.72791289980523;False;[-0.33645833333333336];[-0.6962962962962963];[1];[0];[0];[7.1902548999059945];['image2_2'];['fogas.png'];;;;;;;;;;;;;;;;;SO4;18;2024-04-26_17h22.22.706;visual_memory;2023.02.03;None;2024-04-26 17h22.38.828140 +0200
5;;;;;0;0;0;0;2;0;2;0;159.58597689983435;;;;;;;;;;159.25070759980008;ollo.png;[-0.75, 0.75];auto.png;[-0.75, -0.25];ora.png;[0.25, -0.25];esernyo.png;[0.75, -0.25];laptop.png;[0.75, 0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];160.76076749991626;160.76076749991626;160.76076749991626;160.76076749991626;160.76076749991626;160.76076749991626;160.76076749991626;160.76076749991626;160.76076749991626;160.76076749991626;160.76076749991626;160.76076749991626;160.76076749991626;170.73220489989035;178.34009499987587;178.35365760000423;179.19733099988662;178.8523336998187;171.25084559991956;image4_2;zokni.png;[0.75, 0.25];172.7475422997959;172.7475422997959;172.7475422997959;172.7475422997959;172.7475422997959;172.7475422997959;172.7475422997959;172.7475422997959;172.7475422997959;172.7475422997959;172.7475422997959;172.7475422997959;172.7475422997959;0.015549700008705258;178.33929349994287;False;[0.16979166666666667];[-0.3277777777777778];[1];[0];[0];[5.590905300108716];['image2_2'];['ora.png'];;;;;;;;;;;;;;;;;SO4;18;2024-04-26_17h22.22.706;visual_memory;2023.02.03;None;2024-04-26 17h22.38.828140 +0200
5;;;;;0;0;0;0;3;0;3;0;179.19733099988662;;;;;;;;;;178.85370919993147;szemuveg.png;[0.75, -0.75];bogre.png;[-0.25, -0.25];letra.png;[-0.25, 0.25];macko.png;[-0.25, 0.75];fotel.png;[-0.75, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];180.36066619982012;180.36066619982012;180.36066619982012;180.36066619982012;180.36066619982012;180.36066619982012;180.36066619982012;180.36066619982012;180.36066619982012;180.36066619982012;180.36066619982012;180.36066619982012;180.36066619982012;190.33057619980536;196.1473675998859;196.16545189986937;196.99525729985908;196.6576962999534;190.83565859985538;image4_2;esernyo.png;[-0.75, -0.75];192.35002629994415;192.35002629994415;192.35002629994415;192.35002629994415;192.35002629994415;192.35002629994415;192.35002629994415;192.35002629994415;192.35002629994415;192.35002629994415;192.35002629994415;192.35002629994415;192.35002629994415;0.019647300010547042;196.1466475999914;True;[-0.7614583333333333];[-0.8277777777777777];[1];[0];[0];[3.7957121999934316];['image4_2'];['esernyo.png'];;;;;;;;;;;;;;;;;SO4;18;2024-04-26_17h22.22.706;visual_memory;2023.02.03;None;2024-04-26 17h22.38.828140 +0200
5;;;;;0;0;0;0;4;0;4;0;196.99525729985908;;;;;;;;;;196.65818829997443;zokni.png;[-0.75, -0.25];alma.png;[0.75, -0.25];ollo.png;[0.75, 0.25];fagyi.png;[-0.25, -0.25];ora.png;[0.75, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];198.1687013998162;198.1687013998162;198.1687013998162;198.1687013998162;198.1687013998162;198.1687013998162;198.1687013998162;198.1687013998162;198.1687013998162;198.1687013998162;198.1687013998162;198.1687013998162;198.1687013998162;208.14839749992825;214.80651439982466;214.82008500001393;216.24061409989372;215.30498579982668;208.66797349997796;image4_2;esernyo.png;[0.75, -0.75];210.1660098999273;210.1660098999273;210.1660098999273;210.1660098999273;210.1660098999273;210.1660098999273;210.1660098999273;210.1660098999273;210.1660098999273;210.1660098999273;210.1660098999273;210.1660098999273;210.1660098999273;0.017852299846708775;214.80564589984715;True;[0.6510416666666666];[-0.6333333333333333];[1];[0];[0];[4.637246000114828];['image4_2'];['esernyo.png'];;;;;;;;;;;;;;;;;SO4;18;2024-04-26_17h22.22.706;visual_memory;2023.02.03;None;2024-04-26 17h22.38.828140 +0200
5;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SO4;18;2024-04-26_17h22.22.706;visual_memory;2023.02.03;None;2024-04-26 17h22.38.828140 +0200
9;;;;;0;1;1;1;0;0;0;0;216.24061409989372;;;;;;;;;;215.30887739988975;bogre.png;[-0.25, 0.75];vodor.png;[0.75, 0.75];auto.png;[0.25, -0.75];letra.png;[0.75, 0.25];esernyo.png;[0.25, -0.25];kad.png;[-0.75, 0.75];fotel.png;[0.75, -0.25];ceruza.png;[-0.75, -0.25];fagyi.png;[0.25, 0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];216.84611799987033;216.84611799987033;216.84611799987033;216.84611799987033;216.84611799987033;216.84611799987033;216.84611799987033;216.84611799987033;216.84611799987033;216.84611799987033;216.84611799987033;216.84611799987033;216.84611799987033;226.80273619992658;233.1445645999629;233.16246289992705;234.24110099999234;233.64740379992872;227.31327399984002;image8_2;laptop.png;[0.25, 0.25];228.83027459983714;228.83027459983714;228.83027459983714;228.83027459983714;228.83027459983714;228.83027459983714;228.83027459983714;228.83027459983714;228.83027459983714;228.83027459983714;228.83027459983714;228.83027459983714;228.83027459983714;0.027764700120314956;233.14317119983025;True;[0.23229166666666667];[0.3148148148148148];[1];[0];[0];[4.312015400035307];['image8_2'];['laptop.png'];;;;;;;;;;;;;;;;;SO4;18;2024-04-26_17h22.22.706;visual_memory;2023.02.03;None;2024-04-26 17h22.38.828140 +0200
9;;;;;0;1;1;1;1;0;1;0;234.24110099999234;;;;;;;;;;233.64780529984273;kamera.png;[-0.75, -0.75];zokni.png;[-0.25, 0.75];kad.png;[0.25, 0.25];letra.png;[0.25, -0.25];fotel.png;[-0.25, -0.75];macko.png;[-0.25, 0.25];fagyi.png;[0.75, -0.75];szemuveg.png;[-0.25, -0.25];papucs.png;[-0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];235.18467069999315;235.18467069999315;235.18467069999315;235.18467069999315;235.18467069999315;235.18467069999315;235.18467069999315;235.18467069999315;235.18467069999315;235.18467069999315;235.18467069999315;235.18467069999315;235.18467069999315;245.13155970000662;249.4338932998944;249.4531132997945;250.54086249996908;249.95114479982294;245.63592869997956;image8_2;hajszarito.png;[-0.75, 0.75];247.1629232999403;247.1629232999403;247.1629232999403;247.1629232999403;247.1629232999403;247.1629232999403;247.1629232999403;247.1629232999403;247.1629232999403;247.1629232999403;247.1629232999403;247.1629232999403;247.1629232999403;0.03153559984639287;249.43272539996542;True;[-0.7125];[0.6759259259259259];[1];[0];[0];[2.2688664998859167];['image8_2'];['hajszarito.png'];;;;;;;;;;;;;;;;;SO4;18;2024-04-26_17h22.22.706;visual_memory;2023.02.03;None;2024-04-26 17h22.38.828140 +0200
