pic_num;training_loop.thisRepN;training_loop.thisTrialN;training_loop.thisN;training_loop.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;thisRow.t;notes;intro_text.started;intro_click.started;intro_click.x;intro_click.y;intro_click.leftButton;intro_click.midButton;intro_click.rightButton;intro_click.time;show_images.started;image0_name;image0_position;image1_name;image1_position;image2_name;image2_position;image3_name;image3_position;image4_name;image4_position;image5_name;image5_position;image6_name;image6_position;image7_name;image7_position;image8_name;image8_position;image9_name;image9_position;image10_name;image10_position;image11_name;image11_position;image12_name;image12_position;image0.started;image1.started;image2.started;image3.started;image4.started;image5.started;image6.started;image7.started;image8.started;image9.started;image10.started;image11.started;image12.started;show_images.stopped;blank_screen.started;blank_text.started;blank_text.stopped;blank_screen.stopped;show_images_changed.started;correct_image;correct_image_name;correct_image_pos;image0_2.started;image1_2.started;image2_2.started;image3_2.started;image4_2.started;image5_2.started;image6_2.started;image7_2.started;image8_2.started;image9_2.started;image10_2.started;image11_2.started;image12_2.started;mouse.started;show_images_changed.stopped;is_correct;mouse.x;mouse.y;mouse.leftButton;mouse.midButton;mouse.rightButton;mouse.time;mouse.clicked_name;mouse.clicked_image;feedback.started;feedback_text.started;feedback.stopped;begin_real_trial.started;text.started;begin_real_trial.stopped;so_long_and_thanks_for_all_the_fish.started;goodbye_text.started;goodbye_click.started;so_long_and_thanks_for_all_the_fish.stopped;goodbye_click.x;goodbye_click.y;goodbye_click.leftButton;goodbye_click.midButton;goodbye_click.rightButton;goodbye_click.time;id;age;date;expName;psychopyVersion;frameRate;expStart
;;;;;;;;;;;;;;;0.05204179999418557;0.04233960004057735;[-0.17083333333333334];[0.2518518518518518];[1];[0];[0];[10.865539400023408];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a_23;23;2024-05-05_12h03.19.009;visual_memory;2023.02.03;165.30838287521206;2024-05-05 12h03.44.598913 +0200
;;;;;;;;;;;;;76.29722540010698;;;;;;;;;;75.90787240001373;fogas.png;[0.25, 0.75];ceruza.png;[0.75, -0.75];ora.png;[0.25, -0.75];alma.png;[-0.25, 0.75];hajszarito.png;[0.25, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];76.29722540010698;76.29722540010698;76.29722540010698;76.29722540010698;76.29722540010698;76.29722540010698;76.29722540010698;76.29722540010698;76.29722540010698;76.29722540010698;76.29722540010698;76.29722540010698;76.29722540010698;85.89541860006284;85.89545300009195;85.90072470006999;86.79206810006872;86.39828439999837;86.39830580004491;image4_2;ollo.png;[0.25, -0.25];87.90951610007323;87.90951610007323;87.90951610007323;87.90951610007323;87.90951610007323;87.90951610007323;87.90951610007323;87.90951610007323;87.90951610007323;87.90951610007323;87.90951610007323;87.90951610007323;87.90951610007323;0.014281000010669231;90.91765479999594;False;[0.6770833333333334];[-0.6444444444444445];[1];[0];[0];[3.0071747000329196];['image1_2'];['ceruza.png'];90.91871990007348;90.93275100004394;92.92059390002396;92.92064430005848;92.92628700006753;96.1122328999918;;;;;;;;;;;a_23;23;2024-05-05_12h03.19.009;visual_memory;2023.02.03;165.30838287521206;2024-05-05 12h03.44.598913 +0200
5;;;;;0;0;0;0;0;0;0;0;96.59746560000349;;;;;;;;;;96.20833900000434;letra.png;[0.25, 0.75];bogre.png;[0.75, 0.25];hajszarito.png;[-0.75, -0.25];kad.png;[-0.75, 0.25];vodor.png;[-0.25, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];96.59746560000349;96.59746560000349;96.59746560000349;96.59746560000349;96.59746560000349;96.59746560000349;96.59746560000349;96.59746560000349;96.59746560000349;96.59746560000349;96.59746560000349;96.59746560000349;96.59746560000349;106.10848350008018;111.15143440000247;111.15633110003546;112.03321700007655;111.65420650003944;106.61156250000931;image4_2;ollo.png;[-0.25, -0.25];108.11872550006956;108.11872550006956;108.11872550006956;108.11872550006956;108.11872550006956;108.11872550006956;108.11872550006956;108.11872550006956;108.11872550006956;108.11872550006956;108.11872550006956;108.11872550006956;108.11872550006956;0.010415400029160082;111.15007620002143;True;[-0.2604166666666667];[-0.20925925925925926];[1];[0];[0];[3.0305725000798702];['image4_2'];['ollo.png'];;;;;;;;;;;;;;;;;a_23;23;2024-05-05_12h03.19.009;visual_memory;2023.02.03;165.30838287521206;2024-05-05 12h03.44.598913 +0200
5;;;;;0;0;0;0;1;0;1;0;112.03321700007655;;;;;;;;;;111.65462879999541;zokni.png;[-0.25, -0.25];ceruza.png;[0.75, -0.25];kad.png;[-0.25, 0.75];vodor.png;[0.75, -0.75];hajszarito.png;[0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];113.1623588000657;113.1623588000657;113.1623588000657;113.1623588000657;113.1623588000657;113.1623588000657;113.1623588000657;113.1623588000657;113.1623588000657;113.1623588000657;113.1623588000657;113.1623588000657;113.1623588000657;123.1454738000175;127.26611520000733;127.27053890004754;128.1507166000083;127.76824330003001;123.64855939999688;image4_2;ora.png;[0.75, 0.75];125.15903420001268;125.15903420001268;125.15903420001268;125.15903420001268;125.15903420001268;125.15903420001268;125.15903420001268;125.15903420001268;125.15903420001268;125.15903420001268;125.15903420001268;125.15903420001268;125.15903420001268;0.013772799982689321;127.26521900005173;True;[0.7052083333333333];[0.8962962962962963];[1];[0];[0];[2.105306399986148];['image4_2'];['ora.png'];;;;;;;;;;;;;;;;;a_23;23;2024-05-05_12h03.19.009;visual_memory;2023.02.03;165.30838287521206;2024-05-05 12h03.44.598913 +0200
5;;;;;0;0;0;0;2;0;2;0;128.1507166000083;;;;;;;;;;127.76877200009767;kad.png;[-0.75, 0.25];fagyi.png;[0.25, -0.75];ollo.png;[-0.75, 0.75];szemuveg.png;[-0.25, -0.25];bogre.png;[0.75, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];129.27999920002185;129.27999920002185;129.27999920002185;129.27999920002185;129.27999920002185;129.27999920002185;129.27999920002185;129.27999920002185;129.27999920002185;129.27999920002185;129.27999920002185;129.27999920002185;129.27999920002185;139.2645368000958;143.95294970006216;143.95754710002802;144.83544610009994;144.45592000009492;139.76806750008836;image4_2;esernyo.png;[0.75, -0.75];141.2770734000951;141.2770734000951;141.2770734000951;141.2770734000951;141.2770734000951;141.2770734000951;141.2770734000951;141.2770734000951;141.2770734000951;141.2770734000951;141.2770734000951;141.2770734000951;141.2770734000951;0.013056199997663498;143.95193080010358;True;[0.778125];[-0.6166666666666667];[1];[0];[0];[2.673559899907559];['image4_2'];['esernyo.png'];;;;;;;;;;;;;;;;;a_23;23;2024-05-05_12h03.19.009;visual_memory;2023.02.03;165.30838287521206;2024-05-05 12h03.44.598913 +0200
5;;;;;0;0;0;0;3;0;3;0;144.83544610009994;;;;;;;;;;144.45637260004878;bogre.png;[0.75, 0.75];alma.png;[0.75, -0.25];fotel.png;[-0.75, -0.75];fogas.png;[0.25, -0.75];ollo.png;[-0.25, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];145.96207700006198;145.96207700006198;145.96207700006198;145.96207700006198;145.96207700006198;145.96207700006198;145.96207700006198;145.96207700006198;145.96207700006198;145.96207700006198;145.96207700006198;145.96207700006198;145.96207700006198;155.95012500009034;159.6409091000678;159.64552070002537;160.52257400006056;160.14324240002315;156.45403280004393;image4_2;kamera.png;[-0.25, -0.25];157.9616317000473;157.9616317000473;157.9616317000473;157.9616317000473;157.9616317000473;157.9616317000473;157.9616317000473;157.9616317000473;157.9616317000473;157.9616317000473;157.9616317000473;157.9616317000473;157.9616317000473;0.011696700006723404;159.63998810003977;True;[-0.284375];[-0.32407407407407407];[1];[0];[0];[1.6774654000764713];['image4_2'];['kamera.png'];;;;;;;;;;;;;;;;;a_23;23;2024-05-05_12h03.19.009;visual_memory;2023.02.03;165.30838287521206;2024-05-05 12h03.44.598913 +0200
5;;;;;0;0;0;0;4;0;4;0;160.52257400006056;;;;;;;;;;160.14367940009106;zokni.png;[0.75, -0.75];ollo.png;[-0.25, 0.25];auto.png;[-0.75, -0.25];fogas.png;[-0.25, -0.25];papucs.png;[0.25, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];161.6518726000795;161.6518726000795;161.6518726000795;161.6518726000795;161.6518726000795;161.6518726000795;161.6518726000795;161.6518726000795;161.6518726000795;161.6518726000795;161.6518726000795;161.6518726000795;161.6518726000795;171.63605940004345;175.34941140003502;175.35450480005238;176.5534014001023;175.8476353000151;172.139371199999;image4_2;kamera.png;[0.25, -0.75];173.6477198000066;173.6477198000066;173.6477198000066;173.6477198000066;173.6477198000066;173.6477198000066;173.6477198000066;173.6477198000066;173.6477198000066;173.6477198000066;173.6477198000066;173.6477198000066;173.6477198000066;0.011847199988551438;175.34854999999516;True;[0.29583333333333334];[-0.8648148148148148];[1];[0];[0];[1.6999337000306696];['image4_2'];['kamera.png'];;;;;;;;;;;;;;;;;a_23;23;2024-05-05_12h03.19.009;visual_memory;2023.02.03;165.30838287521206;2024-05-05 12h03.44.598913 +0200
5;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a_23;23;2024-05-05_12h03.19.009;visual_memory;2023.02.03;165.30838287521206;2024-05-05 12h03.44.598913 +0200
9;;;;;0;1;1;1;0;0;0;0;176.5534014001023;;;;;;;;;;175.8487890000688;hajszarito.png;[-0.75, 0.25];letra.png;[0.25, 0.25];kamera.png;[0.75, 0.75];ora.png;[0.75, 0.25];kad.png;[-0.25, -0.75];fagyi.png;[-0.25, -0.25];auto.png;[-0.75, -0.75];vodor.png;[-0.25, 0.75];bogre.png;[-0.25, 0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];177.35995650000405;177.35995650000405;177.35995650000405;177.35995650000405;177.35995650000405;177.35995650000405;177.35995650000405;177.35995650000405;177.35995650000405;177.35995650000405;177.35995650000405;177.35995650000405;177.35995650000405;187.3456876000855;191.33282210002653;191.3375763000222;192.5195918000536;191.83567030006088;187.85008930007461;image8_2;alma.png;[-0.25, 0.25];189.35948450001888;189.35948450001888;189.35948450001888;189.35948450001888;189.35948450001888;189.35948450001888;189.35948450001888;189.35948450001888;189.35948450001888;189.35948450001888;189.35948450001888;189.35948450001888;189.35948450001888;0.014000099967233837;191.33147170010488;True;[-0.19270833333333334];[0.26481481481481484];[1];[0];[0];[1.9711033999919891];['image8_2'];['alma.png'];;;;;;;;;;;;;;;;;a_23;23;2024-05-05_12h03.19.009;visual_memory;2023.02.03;165.30838287521206;2024-05-05 12h03.44.598913 +0200
9;;;;;0;1;1;1;1;0;1;0;192.5195918000536;;;;;;;;;;191.83609230001457;papucs.png;[-0.25, 0.75];macko.png;[0.75, -0.75];auto.png;[-0.25, -0.75];fogas.png;[0.25, -0.75];ora.png;[0.25, 0.25];hajszarito.png;[0.25, -0.25];alma.png;[0.25, 0.75];bogre.png;[0.75, 0.75];ollo.png;[-0.75, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];193.34658610005863;193.34658610005863;193.34658610005863;193.34658610005863;193.34658610005863;193.34658610005863;193.34658610005863;193.34658610005863;193.34658610005863;193.34658610005863;193.34658610005863;193.34658610005863;193.34658610005863;203.32837660005316;206.8742427000543;206.87989860004745;208.08894440007862;207.37587300001178;203.83218460006174;image8_2;laptop.png;[-0.75, -0.75];205.34260239999276;205.34260239999276;205.34260239999276;205.34260239999276;205.34260239999276;205.34260239999276;205.34260239999276;205.34260239999276;205.34260239999276;205.34260239999276;205.34260239999276;205.34260239999276;205.34260239999276;0.014416299993172288;206.87273580010515;True;[-0.821875];[-0.6296296296296297];[1];[0];[0];[1.5291475999401882];['image8_2'];['laptop.png'];;;;;;;;;;;;;;;;;a_23;23;2024-05-05_12h03.19.009;visual_memory;2023.02.03;165.30838287521206;2024-05-05 12h03.44.598913 +0200
