pic_num;training_loop.thisRepN;training_loop.thisTrialN;training_loop.thisN;training_loop.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;thisRow.t;notes;intro_text.started;intro_click.started;intro_click.x;intro_click.y;intro_click.leftButton;intro_click.midButton;intro_click.rightButton;intro_click.time;show_images.started;image0_name;image0_position;image1_name;image1_position;image2_name;image2_position;image3_name;image3_position;image4_name;image4_position;image5_name;image5_position;image6_name;image6_position;image7_name;image7_position;image8_name;image8_position;image9_name;image9_position;image10_name;image10_position;image11_name;image11_position;image12_name;image12_position;image0.started;image1.started;image2.started;image3.started;image4.started;image5.started;image6.started;image7.started;image8.started;image9.started;image10.started;image11.started;image12.started;show_images.stopped;blank_screen.started;blank_text.started;blank_text.stopped;blank_screen.stopped;show_images_changed.started;correct_image;correct_image_name;correct_image_pos;image0_2.started;image1_2.started;image2_2.started;image3_2.started;image4_2.started;image5_2.started;image6_2.started;image7_2.started;image8_2.started;image9_2.started;image10_2.started;image11_2.started;image12_2.started;mouse.started;show_images_changed.stopped;is_correct;mouse.x;mouse.y;mouse.leftButton;mouse.midButton;mouse.rightButton;mouse.time;mouse.clicked_name;mouse.clicked_image;feedback.started;feedback_text.started;feedback.stopped;begin_real_trial.started;text.started;begin_real_trial.stopped;so_long_and_thanks_for_all_the_fish.started;goodbye_text.started;goodbye_click.started;id;age;date;expName;psychopyVersion;frameRate;expStart
;;;;;;;;;;;;;;;0.0452829001005739;0.012414500117301941;[-0.059375];[-0.07222222222222222];[1];[0];[0];[23.063402999890968];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SO2;18;2024-04-25_19h00.51.591;visual_memory;2023.02.03;None;2024-04-25 19h01.08.972473 +0200
;;;;;;;;;;;;;94.20673780003563;;;;;;;;;;93.81872169999406;macko.png;[0.25, 0.75];szemuveg.png;[-0.75, -0.25];alma.png;[-0.25, 0.75];fotel.png;[-0.25, -0.25];hajszarito.png;[-0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];94.20673780003563;94.20673780003563;94.20673780003563;94.20673780003563;94.20673780003563;94.20673780003563;94.20673780003563;94.20673780003563;94.20673780003563;94.20673780003563;94.20673780003563;94.20673780003563;94.20673780003563;103.77958910004236;103.77965130005032;103.80956620001234;104.68381960014813;104.31674490007572;104.31676640012302;image4_2;kad.png;[-0.75, 0.75];105.83506410010159;105.83506410010159;105.83506410010159;105.83506410010159;105.83506410010159;105.83506410010159;105.83506410010159;105.83506410010159;105.83506410010159;105.83506410010159;105.83506410010159;105.83506410010159;105.83506410010159;0.05567679996602237;108.0957914001774;True;[-0.7666666666666667];[0.8574074074074074];[1];[0];[0];[2.258986399974674];['image4_2'];['kad.png'];108.10251680016518;108.12508500018157;110.12021860014647;110.12031999998726;110.16035809996538;113.17154330015182;;;;SO2;18;2024-04-25_19h00.51.591;visual_memory;2023.02.03;None;2024-04-25 19h01.08.972473 +0200
5;;;;;0;0;0;0;0;0;0;0;113.57100120000541;;;;;;;;;;113.21159410011023;esernyo.png;[-0.75, -0.75];letra.png;[-0.75, -0.25];alma.png;[0.75, 0.75];kamera.png;[-0.75, 0.25];szemuveg.png;[-0.25, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];113.57100120000541;113.57100120000541;113.57100120000541;113.57100120000541;113.57100120000541;113.57100120000541;113.57100120000541;113.57100120000541;113.57100120000541;113.57100120000541;113.57100120000541;113.57100120000541;113.57100120000541;123.16956329997629;128.7514345999807;128.7670814001467;129.65654300013557;129.28260900010355;123.68045760015957;image4_2;kad.png;[-0.25, 0.75];125.21998360008001;125.21998360008001;125.21998360008001;125.21998360008001;125.21998360008001;125.21998360008001;125.21998360008001;125.21998360008001;125.21998360008001;125.21998360008001;125.21998360008001;125.21998360008001;125.21998360008001;0.05087819998152554;128.7495509001892;True;[-0.18854166666666666];[0.6666666666666666];[1];[0];[0];[3.5282727000303566];['image4_2'];['kad.png'];;;;;;;;;;SO2;18;2024-04-25_19h00.51.591;visual_memory;2023.02.03;None;2024-04-25 19h01.08.972473 +0200
5;;;;;0;0;0;0;1;0;1;0;129.65654300013557;;;;;;;;;;129.28317930013873;laptop.png;[-0.25, 0.75];fagyi.png;[0.25, 0.75];esernyo.png;[-0.75, 0.75];auto.png;[-0.25, -0.75];bogre.png;[0.25, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];130.81180400005542;130.81180400005542;130.81180400005542;130.81180400005542;130.81180400005542;130.81180400005542;130.81180400005542;130.81180400005542;130.81180400005542;130.81180400005542;130.81180400005542;130.81180400005542;130.81180400005542;140.7563013001345;148.9498837001156;148.9653167000506;149.85808510007337;149.47926220018417;141.28368470002897;image4_2;letra.png;[0.25, -0.25];142.78635299997404;142.78635299997404;142.78635299997404;142.78635299997404;142.78635299997404;142.78635299997404;142.78635299997404;142.78635299997404;142.78635299997404;142.78635299997404;142.78635299997404;142.78635299997404;142.78635299997404;0.03026630007661879;148.9479861999862;True;[0.203125];[-0.16296296296296298];[1];[0];[0];[6.160538900177926];['image4_2'];['letra.png'];;;;;;;;;;SO2;18;2024-04-25_19h00.51.591;visual_memory;2023.02.03;None;2024-04-25 19h01.08.972473 +0200
5;;;;;0;0;0;0;2;0;2;0;149.85808510007337;;;;;;;;;;149.48091490007937;hajszarito.png;[-0.75, 0.75];fogas.png;[-0.25, -0.25];fotel.png;[-0.75, -0.25];alma.png;[0.25, -0.25];kad.png;[-0.25, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];151.00024900003336;151.00024900003336;151.00024900003336;151.00024900003336;151.00024900003336;151.00024900003336;151.00024900003336;151.00024900003336;151.00024900003336;151.00024900003336;151.00024900003336;151.00024900003336;151.00024900003336;160.96653780015185;169.20701490016654;169.22289930004627;170.0935360000003;169.7232656001579;161.51566740009002;image4_2;fagyi.png;[-0.25, -0.75];163.03737629996613;163.03737629996613;163.03737629996613;163.03737629996613;163.03737629996613;163.03737629996613;163.03737629996613;163.03737629996613;163.03737629996613;163.03737629996613;163.03737629996613;163.03737629996613;163.03737629996613;0.012636600062251091;169.1973737999797;False;[-0.11770833333333333];[-0.20925925925925926];[1];[0];[0];[6.210539200110361];['image1_2'];['fogas.png'];;;;;;;;;;SO2;18;2024-04-25_19h00.51.591;visual_memory;2023.02.03;None;2024-04-25 19h01.08.972473 +0200
5;;;;;0;0;0;0;3;0;3;0;170.0935360000003;;;;;;;;;;169.72452130005695;kamera.png;[0.25, -0.75];zokni.png;[0.75, -0.75];fogas.png;[0.75, 0.75];papucs.png;[0.75, 0.25];hajszarito.png;[0.25, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];171.26813760004006;171.26813760004006;171.26813760004006;171.26813760004006;171.26813760004006;171.26813760004006;171.26813760004006;171.26813760004006;171.26813760004006;171.26813760004006;171.26813760004006;171.26813760004006;171.26813760004006;181.20689250016585;188.60950789996423;188.6277046999894;189.52862180001102;189.1354237999767;181.7233228001278;image4_2;bogre.png;[0.25, -0.25];183.25032089999877;183.25032089999877;183.25032089999877;183.25032089999877;183.25032089999877;183.25032089999877;183.25032089999877;183.25032089999877;183.25032089999877;183.25032089999877;183.25032089999877;183.25032089999877;183.25032089999877;0.04372929991222918;188.60417020018212;False;[0.23854166666666668];[-0.725925925925926];[1];[0];[0];[5.349681599996984];['image0_2'];['kamera.png'];;;;;;;;;;SO2;18;2024-04-25_19h00.51.591;visual_memory;2023.02.03;None;2024-04-25 19h01.08.972473 +0200
5;;;;;0;0;0;0;4;0;4;0;189.52862180001102;;;;;;;;;;189.14102460001595;esernyo.png;[-0.25, 0.25];kad.png;[-0.25, 0.75];ora.png;[0.75, -0.25];laptop.png;[-0.25, -0.25];ceruza.png;[0.25, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];190.6766951000318;190.6766951000318;190.6766951000318;190.6766951000318;190.6766951000318;190.6766951000318;190.6766951000318;190.6766951000318;190.6766951000318;190.6766951000318;190.6766951000318;190.6766951000318;190.6766951000318;200.6248554000631;206.1066108001396;206.13164560007863;207.3453226001002;206.62645700015128;201.15686490014195;image4_2;auto.png;[0.25, 0.75];202.67944910004735;202.67944910004735;202.67944910004735;202.67944910004735;202.67944910004735;202.67944910004735;202.67944910004735;202.67944910004735;202.67944910004735;202.67944910004735;202.67944910004735;202.67944910004735;202.67944910004735;0.054972900077700615;206.10161380004138;True;[0.42291666666666666];[0.7351851851851852];[1];[0];[0];[3.4205442999955267];['image4_2'];['auto.png'];;;;;;;;;;SO2;18;2024-04-25_19h00.51.591;visual_memory;2023.02.03;None;2024-04-25 19h01.08.972473 +0200
5;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SO2;18;2024-04-25_19h00.51.591;visual_memory;2023.02.03;None;2024-04-25 19h01.08.972473 +0200
9;;;;;0;1;1;1;0;0;0;0;207.3453226001002;;;;;;;;;;206.63028260017745;szemuveg.png;[-0.75, 0.75];zokni.png;[0.75, 0.75];vodor.png;[0.25, -0.25];macko.png;[-0.75, -0.75];papucs.png;[0.25, 0.25];laptop.png;[-0.25, 0.25];ceruza.png;[0.75, 0.25];fotel.png;[0.75, -0.75];alma.png;[0.25, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];208.18484120001085;208.18484120001085;208.18484120001085;208.18484120001085;208.18484120001085;208.18484120001085;208.18484120001085;208.18484120001085;208.18484120001085;208.18484120001085;208.18484120001085;208.18484120001085;208.18484120001085;218.12900660000741;228.32333360007033;228.36038970015943;229.7005745000206;228.85226560011506;218.64603740000166;image8_2;ora.png;[0.25, -0.75];220.2197531000711;220.2197531000711;220.2197531000711;220.2197531000711;220.2197531000711;220.2197531000711;220.2197531000711;220.2197531000711;220.2197531000711;220.2197531000711;220.2197531000711;220.2197531000711;220.2197531000711;0.007586099905893207;228.31866380013525;False;[0.31354166666666666];[-0.20185185185185187];[1];[0];[0];[8.17933960002847];['image2_2'];['vodor.png'];;;;;;;;;;SO2;18;2024-04-25_19h00.51.591;visual_memory;2023.02.03;None;2024-04-25 19h01.08.972473 +0200
9;;;;;0;1;1;1;1;0;1;0;229.7005745000206;;;;;;;;;;228.8532797000371;ceruza.png;[0.75, -0.25];letra.png;[0.75, -0.75];ollo.png;[-0.75, -0.75];kad.png;[-0.25, 0.75];fogas.png;[-0.25, 0.25];macko.png;[0.25, 0.75];auto.png;[0.75, 0.25];hajszarito.png;[-0.25, -0.25];szemuveg.png;[-0.75, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];230.39782409998588;230.39782409998588;230.39782409998588;230.39782409998588;230.39782409998588;230.39782409998588;230.39782409998588;230.39782409998588;230.39782409998588;230.39782409998588;230.39782409998588;230.39782409998588;230.39782409998588;240.34679590002634;246.40573600004427;246.42149530001916;247.57818390009925;246.90872379997745;240.89828680013306;image8_2;ora.png;[-0.75, -0.25];242.41891410015523;242.41891410015523;242.41891410015523;242.41891410015523;242.41891410015523;242.41891410015523;242.41891410015523;242.41891410015523;242.41891410015523;242.41891410015523;242.41891410015523;242.41891410015523;242.41891410015523;0.008850000100210309;246.39657250000164;True;[-0.7822916666666667];[-0.22592592592592592];[1];[0];[0];[4.034235599916428];['image8_2'];['ora.png'];;;;;;;;;;SO2;18;2024-04-25_19h00.51.591;visual_memory;2023.02.03;None;2024-04-25 19h01.08.972473 +0200
