pic_num;training_loop.thisRepN;training_loop.thisTrialN;training_loop.thisN;training_loop.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;thisRow.t;notes;intro_text.started;intro_click.started;intro_click.x;intro_click.y;intro_click.leftButton;intro_click.midButton;intro_click.rightButton;intro_click.time;show_images.started;image0_name;image0_position;image1_name;image1_position;image2_name;image2_position;image3_name;image3_position;image4_name;image4_position;image5_name;image5_position;image6_name;image6_position;image7_name;image7_position;image8_name;image8_position;image9_name;image9_position;image10_name;image10_position;image11_name;image11_position;image12_name;image12_position;image0.started;image1.started;image2.started;image3.started;image4.started;image5.started;image6.started;image7.started;image8.started;image9.started;image10.started;image11.started;image12.started;show_images.stopped;blank_screen.started;blank_text.started;blank_text.stopped;blank_screen.stopped;show_images_changed.started;correct_image;correct_image_name;correct_image_pos;image0_2.started;image1_2.started;image2_2.started;image3_2.started;image4_2.started;image5_2.started;image6_2.started;image7_2.started;image8_2.started;image9_2.started;image10_2.started;image11_2.started;image12_2.started;mouse.started;show_images_changed.stopped;is_correct;mouse.x;mouse.y;mouse.leftButton;mouse.midButton;mouse.rightButton;mouse.time;mouse.clicked_name;mouse.clicked_image;feedback.started;feedback_text.started;feedback.stopped;begin_real_trial.started;text.started;begin_real_trial.stopped;so_long_and_thanks_for_all_the_fish.started;goodbye_text.started;goodbye_click.started;so_long_and_thanks_for_all_the_fish.stopped;goodbye_click.x;goodbye_click.y;goodbye_click.leftButton;goodbye_click.midButton;goodbye_click.rightButton;goodbye_click.time;id;age;date;expName;psychopyVersion;frameRate;expStart
;;;;;;;;;;;;;;;0.04089269996620715;0.012060799868777394;[0.6541666666666667];[0.3574074074074074];[1];[0];[0];[21.897055899957195];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SO3;18;2024-04-25_21h46.27.202;visual_memory;2023.02.03;None;2024-04-25 21h47.57.110137 +0200
;;;;;;;;;;;;;94.33906369982287;;;;;;;;;;93.95155510003679;letra.png;[0.25, -0.25];kamera.png;[-0.75, 0.25];auto.png;[-0.75, -0.75];alma.png;[0.25, 0.75];ora.png;[-0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];94.33906369982287;94.33906369982287;94.33906369982287;94.33906369982287;94.33906369982287;94.33906369982287;94.33906369982287;94.33906369982287;94.33906369982287;94.33906369982287;94.33906369982287;94.33906369982287;94.33906369982287;103.94276969996281;103.94279909995385;103.9721131999977;104.85943499999121;104.47557460004464;104.47560169990174;image4_2;hajszarito.png;[-0.75, 0.75];106.0044774999842;106.0044774999842;106.0044774999842;106.0044774999842;106.0044774999842;106.0044774999842;106.0044774999842;106.0044774999842;106.0044774999842;106.0044774999842;106.0044774999842;106.0044774999842;106.0044774999842;0.006123699946328998;120.4603740000166;True;[-0.70625];[0.9];[1];[0];[0];[14.505402900045738];['image4_2'];['hajszarito.png'];120.46226900001056;120.47635299991816;122.4707938998472;122.4708893999923;122.50241660000756;125.27672309987247;;;;;;;;;;;SO3;18;2024-04-25_21h46.27.202;visual_memory;2023.02.03;None;2024-04-25 21h47.57.110137 +0200
5;;;;;0;0;0;0;0;0;0;0;125.6782765998505;;;;;;;;;;125.30342919984832;papucs.png;[0.75, 0.25];laptop.png;[-0.75, -0.75];alma.png;[0.75, 0.75];ollo.png;[-0.25, -0.25];bogre.png;[0.75, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];125.6782765998505;125.6782765998505;125.6782765998505;125.6782765998505;125.6782765998505;125.6782765998505;125.6782765998505;125.6782765998505;125.6782765998505;125.6782765998505;125.6782765998505;125.6782765998505;125.6782765998505;135.30028690001927;141.76229109987617;141.78662329982035;142.6406212998554;142.27375969989225;135.8141630999744;image4_2;ceruza.png;[0.75, -0.25];137.36056389985606;137.36056389985606;137.36056389985606;137.36056389985606;137.36056389985606;137.36056389985606;137.36056389985606;137.36056389985606;137.36056389985606;137.36056389985606;137.36056389985606;137.36056389985606;137.36056389985606;0.011489199940115213;141.75904130004346;True;[0.703125];[-0.34444444444444444];[1];[0];[0];[4.444910899968818];['image4_2'];['ceruza.png'];;;;;;;;;;;;;;;;;SO3;18;2024-04-25_21h46.27.202;visual_memory;2023.02.03;None;2024-04-25 21h47.57.110137 +0200
5;;;;;0;0;0;0;1;0;1;0;142.6406212998554;;;;;;;;;;142.27490879991092;alma.png;[-0.25, 0.75];vodor.png;[-0.75, 0.75];laptop.png;[0.25, -0.75];macko.png;[-0.75, -0.75];esernyo.png;[0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];143.80220309994183;143.80220309994183;143.80220309994183;143.80220309994183;143.80220309994183;143.80220309994183;143.80220309994183;143.80220309994183;143.80220309994183;143.80220309994183;143.80220309994183;143.80220309994183;143.80220309994183;153.76476549985819;159.21081259986386;159.23670849995688;160.1142886998132;159.74200679990463;154.30094560002908;image4_2;ora.png;[0.75, 0.75];155.81497109984048;155.81497109984048;155.81497109984048;155.81497109984048;155.81497109984048;155.81497109984048;155.81497109984048;155.81497109984048;155.81497109984048;155.81497109984048;155.81497109984048;155.81497109984048;155.81497109984048;0.01176519994623959;159.2091700998135;True;[0.8552083333333333];[0.6796296296296296];[1];[0];[0];[3.430265299975872];['image4_2'];['ora.png'];;;;;;;;;;;;;;;;;SO3;18;2024-04-25_21h46.27.202;visual_memory;2023.02.03;None;2024-04-25 21h47.57.110137 +0200
5;;;;;0;0;0;0;2;0;2;0;160.1142886998132;;;;;;;;;;159.74479719996452;zokni.png;[-0.25, 0.75];hajszarito.png;[-0.75, 0.25];alma.png;[-0.25, -0.75];fotel.png;[-0.25, 0.25];kad.png;[0.25, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];161.26416160003282;161.26416160003282;161.26416160003282;161.26416160003282;161.26416160003282;161.26416160003282;161.26416160003282;161.26416160003282;161.26416160003282;161.26416160003282;161.26416160003282;161.26416160003282;161.26416160003282;171.2296267999336;182.40705789998174;182.43212819984183;183.3223466000054;182.92392609990202;171.7524023000151;image4_2;szemuveg.png;[0.25, 0.75];173.2841916999314;173.2841916999314;173.2841916999314;173.2841916999314;173.2841916999314;173.2841916999314;173.2841916999314;173.2841916999314;173.2841916999314;173.2841916999314;173.2841916999314;173.2841916999314;173.2841916999314;0.0005391999147832394;182.40544059989043;True;[0.309375];[0.812962962962963];[1];[0];[0];[9.172215499915183];['image4_2'];['szemuveg.png'];;;;;;;;;;;;;;;;;SO3;18;2024-04-25_21h46.27.202;visual_memory;2023.02.03;None;2024-04-25 21h47.57.110137 +0200
5;;;;;0;0;0;0;3;0;3;0;183.3223466000054;;;;;;;;;;182.92550110002048;esernyo.png;[0.75, 0.25];ora.png;[-0.75, 0.75];auto.png;[0.25, 0.75];papucs.png;[0.75, -0.25];ceruza.png;[-0.75, 0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];184.45372490002774;184.45372490002774;184.45372490002774;184.45372490002774;184.45372490002774;184.45372490002774;184.45372490002774;184.45372490002774;184.45372490002774;184.45372490002774;184.45372490002774;184.45372490002774;184.45372490002774;194.42399929999374;199.51161509985104;199.52544679981656;200.403154599946;200.03941700002179;194.94953810004517;image4_2;fogas.png;[-0.75, 0.25];196.48555099987425;196.48555099987425;196.48555099987425;196.48555099987425;196.48555099987425;196.48555099987425;196.48555099987425;196.48555099987425;196.48555099987425;196.48555099987425;196.48555099987425;196.48555099987425;196.48555099987425;0.013429499929770827;199.5100519999396;True;[-0.709375];[0.16296296296296298];[1];[0];[0];[3.0697715000715107];['image4_2'];['fogas.png'];;;;;;;;;;;;;;;;;SO3;18;2024-04-25_21h46.27.202;visual_memory;2023.02.03;None;2024-04-25 21h47.57.110137 +0200
5;;;;;0;0;0;0;4;0;4;0;200.403154599946;;;;;;;;;;200.0438105999492;kamera.png;[0.25, 0.25];ora.png;[-0.75, 0.25];ceruza.png;[-0.25, -0.75];laptop.png;[-0.75, 0.75];zokni.png;[0.75, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];201.5680167998653;201.5680167998653;201.5680167998653;201.5680167998653;201.5680167998653;201.5680167998653;201.5680167998653;201.5680167998653;201.5680167998653;201.5680167998653;201.5680167998653;201.5680167998653;201.5680167998653;211.51680879993364;228.98145950003527;228.9971702999901;230.1622815998271;229.48499009991065;212.0336651999969;image4_2;vodor.png;[0.75, -0.25];213.58446339983493;213.58446339983493;213.58446339983493;213.58446339983493;213.58446339983493;213.58446339983493;213.58446339983493;213.58446339983493;213.58446339983493;213.58446339983493;213.58446339983493;213.58446339983493;213.58446339983493;0.06777659989893436;228.9783812998794;True;[0.7947916666666667];[-0.28888888888888886];[1];[0];[0];[15.391280299983919];['image4_2'];['vodor.png'];;;;;;;;;;;;;;;;;SO3;18;2024-04-25_21h46.27.202;visual_memory;2023.02.03;None;2024-04-25 21h47.57.110137 +0200
5;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SO3;18;2024-04-25_21h46.27.202;visual_memory;2023.02.03;None;2024-04-25 21h47.57.110137 +0200
9;;;;;0;1;1;1;0;0;0;0;230.1622815998271;;;;;;;;;;229.48950889986008;fogas.png;[-0.25, 0.75];esernyo.png;[-0.25, -0.25];fagyi.png;[0.25, 0.75];ceruza.png;[0.75, -0.75];fotel.png;[-0.25, -0.75];macko.png;[0.25, -0.75];auto.png;[0.75, 0.25];papucs.png;[-0.75, 0.25];ora.png;[-0.75, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];231.0502148999367;231.0502148999367;231.0502148999367;231.0502148999367;231.0502148999367;231.0502148999367;231.0502148999367;231.0502148999367;231.0502148999367;231.0502148999367;231.0502148999367;231.0502148999367;231.0502148999367;240.98544079996645;245.9564236998558;245.97099349997006;247.0624991999939;246.46297300001606;241.5144227000419;image8_2;alma.png;[-0.75, -0.25];243.0376752000302;243.0376752000302;243.0376752000302;243.0376752000302;243.0376752000302;243.0376752000302;243.0376752000302;243.0376752000302;243.0376752000302;243.0376752000302;243.0376752000302;243.0376752000302;243.0376752000302;0.05286519997753203;245.95403889985755;True;[-0.6802083333333333];[-0.35185185185185186];[1];[0];[0];[2.914494700031355];['image8_2'];['alma.png'];;;;;;;;;;;;;;;;;SO3;18;2024-04-25_21h46.27.202;visual_memory;2023.02.03;None;2024-04-25 21h47.57.110137 +0200
9;;;;;0;1;1;1;1;0;1;0;247.0624991999939;;;;;;;;;;246.46495920000598;fagyi.png;[-0.75, 0.25];papucs.png;[0.25, 0.75];szemuveg.png;[0.75, -0.75];esernyo.png;[-0.25, 0.75];letra.png;[0.25, -0.25];zokni.png;[0.75, -0.25];vodor.png;[-0.25, 0.25];fogas.png;[0.75, 0.75];hajszarito.png;[-0.25, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];248.01291489996947;248.01291489996947;248.01291489996947;248.01291489996947;248.01291489996947;248.01291489996947;248.01291489996947;248.01291489996947;248.01291489996947;248.01291489996947;248.01291489996947;248.01291489996947;248.01291489996947;257.9486419998575;267.276740900008;267.29113859985955;268.4176498998422;267.7951856998261;258.4729355999734;image8_2;kamera.png;[-0.25, -0.25];260.0164587998297;260.0164587998297;260.0164587998297;260.0164587998297;260.0164587998297;260.0164587998297;260.0164587998297;260.0164587998297;260.0164587998297;260.0164587998297;260.0164587998297;260.0164587998297;260.0164587998297;0.005881499964743853;267.2751517998986;True;[-0.23020833333333332];[-0.18703703703703703];[1];[0];[0];[7.318907100008801];['image8_2'];['kamera.png'];;;;;;;;;;;;;;;;;SO3;18;2024-04-25_21h46.27.202;visual_memory;2023.02.03;None;2024-04-25 21h47.57.110137 +0200
