filename	pic_num	training_loop.thisRepN	training_loop.thisTrialN	training_loop.thisN	training_loop.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	intro_text.started	intro_click.started	intro_click.x	intro_click.y	intro_click.leftButton	intro_click.midButton	intro_click.rightButton	intro_click.time	show_images.started	image0_name	image0_position	image1_name	image1_position	image2_name	image2_position	image3_name	image3_position	image4_name	image4_position	image5_name	image5_position	image6_name	image6_position	image7_name	image7_position	image8_name	image8_position	image9_name	image9_position	image10_name	image10_position	image11_name	image11_position	image12_name	image12_position	image0.started	image1.started	image2.started	image3.started	image4.started	image5.started	image6.started	image7.started	image8.started	image9.started	image10.started	image11.started	image12.started	show_images.stopped	blank_screen.started	blank_text.started	blank_text.stopped	blank_screen.stopped	show_images_changed.started	correct_image	correct_image_name	correct_image_pos	image0_2.started	image1_2.started	image2_2.started	image3_2.started	image4_2.started	image5_2.started	image6_2.started	image7_2.started	image8_2.started	image9_2.started	image10_2.started	image11_2.started	image12_2.started	mouse.started	show_images_changed.stopped	is_correct	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	mouse.clicked_image	feedback.started	feedback_text.started	feedback.stopped	feedback_text.stopped	begin_real_trial.started	text.started	begin_real_trial.stopped	so_long_and_thanks_for_all_the_fish.started	goodbye_text.started	goodbye_click.started	so_long_and_thanks_for_all_the_fish.stopped	goodbye_click.x	goodbye_click.y	goodbye_click.leftButton	goodbye_click.midButton	goodbye_click.rightButton	goodbye_click.time	id	age	date	expName	psychopyVersion	frameRate	expStart	
./R1_visual_memory_2024-05-03_17h56.42.992.csv																0.0403379169292748	0.013569208094850183	[0.03194444444444444]	[0.46]	[1]	[0]	[0]	[25.60377712501213]																																																																																											Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv														99.64964095898904										99.26750208390877	letra.png	[-0.75, -0.75]	ora.png	[-0.25, -0.75]	hajszarito.png	[-0.75, -0.25]	kad.png	[-0.25, -0.25]	esernyo.png	[0.75, 0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	99.64964095898904	99.64964095898904	99.64964095898904	99.64964095898904	99.64964095898904	99.64964095898904	99.64964095898904	99.64964095898904	99.64964095898904	99.64964095898904	99.64964095898904	99.64964095898904	99.64964095898904	109.26717895898037	109.26720341690816	109.27650341694243	110.1505003341008	109.777176334057	109.77719695889391	image4_2	ceruza.png	[0.75, 0.25]	111.28152874996886	111.28152874996886	111.28152874996886	111.28152874996886	111.28152874996886	111.28152874996886	111.28152874996886	111.28152874996886	111.28152874996886	111.28152874996886	111.28152874996886	111.28152874996886	111.28152874996886	0.014579333132132888	117.51950337504968	True	[0.7986111111111112]	[0.29333333333333333]	[1]	[0]	[0]	[6.237283125054091]	['image4_2']	['ceruza.png']	117.5201767499093	117.52609887509607	119.52700387500226	99.64964095898904	119.52706441702321	119.53483087499626	125.21902116690762											Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	5					0	0	0	0	0	0	0	0	125.61315787490457										125.2333014588803	esernyo.png	[-0.25, -0.25]	fotel.png	[-0.75, 0.75]	vodor.png	[0.75, 0.75]	fagyi.png	[0.25, 0.75]	alma.png	[0.75, -0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	125.61315787490457	125.61315787490457	125.61315787490457	125.61315787490457	125.61315787490457	125.61315787490457	125.61315787490457	125.61315787490457	125.61315787490457	125.61315787490457	125.61315787490457	125.61315787490457	125.61315787490457	135.2171150839422	140.20447187498212	140.2103287500795	141.08699274994433	140.71126916701905	135.72784554190002	image4_2	ollo.png	[0.75, -0.25]	137.2307487090584	137.2307487090584	137.2307487090584	137.2307487090584	137.2307487090584	137.2307487090584	137.2307487090584	137.2307487090584	137.2307487090584	137.2307487090584	137.2307487090584	137.2307487090584	137.2307487090584	0.013850833056494594	140.20343225006945	True	[0.7861111111111111]	[-0.3466666666666667]	[1]	[0]	[0]	[2.9720471249893308]	['image4_2']	['ollo.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	5					0	0	0	0	1	0	1	0	141.08699274994433										140.71170524996705	letra.png	[-0.25, -0.75]	vodor.png	[-0.25, 0.25]	bogre.png	[-0.25, -0.25]	fogas.png	[0.25, -0.25]	kad.png	[0.75, 0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	142.21889250003733	142.21889250003733	142.21889250003733	142.21889250003733	142.21889250003733	142.21889250003733	142.21889250003733	142.21889250003733	142.21889250003733	142.21889250003733	142.21889250003733	142.21889250003733	142.21889250003733	152.20218916703016	157.65551512502134	157.66117733391002	158.5322072498966	158.1617378750816	152.71166995889507	image4_2	fotel.png	[0.75, 0.25]	154.21523929201066	154.21523929201066	154.21523929201066	154.21523929201066	154.21523929201066	154.21523929201066	154.21523929201066	154.21523929201066	154.21523929201066	154.21523929201066	154.21523929201066	154.21523929201066	154.21523929201066	0.013297999976202846	157.6548373750411	True	[0.6680555555555555]	[0.27111111111111114]	[1]	[0]	[0]	[3.438937250059098]	['image4_2']	['fotel.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	5					0	0	0	0	2	0	2	0	158.5322072498966										158.16217262507416	hajszarito.png	[0.75, -0.75]	vodor.png	[-0.25, 0.25]	ora.png	[0.75, 0.75]	szemuveg.png	[-0.75, -0.25]	ollo.png	[-0.25, -0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	159.66933308402076	159.66933308402076	159.66933308402076	159.66933308402076	159.66933308402076	159.66933308402076	159.66933308402076	159.66933308402076	159.66933308402076	159.66933308402076	159.66933308402076	159.66933308402076	159.66933308402076	169.6514479999896	175.07257000007667	175.0783936250955	175.9562104169745	175.57900366699323	170.16193900001235	image4_2	zokni.png	[-0.25, -0.25]	171.66677529201843	171.66677529201843	171.66677529201843	171.66677529201843	171.66677529201843	171.66677529201843	171.66677529201843	171.66677529201843	171.66677529201843	171.66677529201843	171.66677529201843	171.66677529201843	171.66677529201843	0.015533207915723324	175.07187483389862	True	[-0.25416666666666665]	[-0.3422222222222222]	[1]	[0]	[0]	[3.40446054097265]	['image4_2']	['zokni.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	5					0	0	0	0	3	0	3	0	175.9562104169745										175.57943637506105	szemuveg.png	[-0.25, 0.25]	bogre.png	[0.75, -0.75]	vodor.png	[0.75, 0.75]	macko.png	[0.75, -0.25]	fogas.png	[0.25, -0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	177.08550770906731	177.08550770906731	177.08550770906731	177.08550770906731	177.08550770906731	177.08550770906731	177.08550770906731	177.08550770906731	177.08550770906731	177.08550770906731	177.08550770906731	177.08550770906731	177.08550770906731	187.06876979209483	193.8730995838996	193.87872220901772	194.75433633406647	194.37946549989283	187.57943270890974	image4_2	ora.png	[0.25, -0.25]	189.08282725000754	189.08282725000754	189.08282725000754	189.08282725000754	189.08282725000754	189.08282725000754	189.08282725000754	189.08282725000754	189.08282725000754	189.08282725000754	189.08282725000754	189.08282725000754	189.08282725000754	0.01426891703158617	193.87246212502941	True	[0.35833333333333334]	[-0.2311111111111111]	[1]	[0]	[0]	[4.788998665986583]	['image4_2']	['ora.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	5					0	0	0	0	4	0	4	0	194.75433633406647										194.37989691691473	ollo.png	[0.25, -0.25]	ceruza.png	[-0.75, -0.75]	hajszarito.png	[0.75, -0.75]	esernyo.png	[-0.25, 0.75]	zokni.png	[0.25, -0.75]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	195.8862631248776	195.8862631248776	195.8862631248776	195.8862631248776	195.8862631248776	195.8862631248776	195.8862631248776	195.8862631248776	195.8862631248776	195.8862631248776	195.8862631248776	195.8862631248776	195.8862631248776	205.86937233409844	211.10715379193425	211.11310991691425	212.29698387510143	211.61328712501563	206.379769125022	image4_2	szemuveg.png	[0.25, -0.75]	207.88395074987784	207.88395074987784	207.88395074987784	207.88395074987784	207.88395074987784	207.88395074987784	207.88395074987784	207.88395074987784	207.88395074987784	207.88395074987784	207.88395074987784	207.88395074987784	207.88395074987784	0.014824541052803397	211.10650662495755	True	[0.32083333333333336]	[-0.74]	[1]	[0]	[0]	[3.2218719171360135]	['image4_2']	['szemuveg.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	5					0	0	0	0																																																																																																									Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	9					0	1	1	1	0	0	0	0	212.29698387510143										211.6145639170427	zokni.png	[-0.25, -0.25]	esernyo.png	[0.25, 0.75]	kamera.png	[0.25, -0.75]	fotel.png	[-0.75, 0.75]	laptop.png	[0.75, -0.75]	papucs.png	[-0.25, -0.75]	ora.png	[-0.75, 0.25]	kad.png	[0.25, 0.25]	letra.png	[-0.25, 0.75]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	213.12253675004467	213.12253675004467	213.12253675004467	213.12253675004467	213.12253675004467	213.12253675004467	213.12253675004467	213.12253675004467	213.12253675004467	213.12253675004467	213.12253675004467	213.12253675004467	213.12253675004467	223.1072796669323	229.05938812508248	229.0654979168903	230.2237031669356	229.5637389589101	223.6137332499493	image8_2	macko.png	[-0.25, 0.75]	225.12194904196076	225.12194904196076	225.12194904196076	225.12194904196076	225.12194904196076	225.12194904196076	225.12194904196076	225.12194904196076	225.12194904196076	225.12194904196076	225.12194904196076	225.12194904196076	225.12194904196076	0.014853290980681777	229.0583772920072	True	[-0.25277777777777777]	[0.8155555555555556]	[1]	[0]	[0]	[3.935827041976154]	['image8_2']	['macko.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	9					0	1	1	1	1	0	1	0	230.2237031669356										229.56418058392592	papucs.png	[0.75, 0.25]	bogre.png	[0.75, -0.25]	kamera.png	[0.25, 0.75]	fagyi.png	[-0.75, -0.25]	laptop.png	[0.25, -0.75]	auto.png	[-0.75, -0.75]	macko.png	[-0.25, 0.75]	ora.png	[0.25, -0.25]	fogas.png	[0.25, 0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	231.07238662499003	231.07238662499003	231.07238662499003	231.07238662499003	231.07238662499003	231.07238662499003	231.07238662499003	231.07238662499003	231.07238662499003	231.07238662499003	231.07238662499003	231.07238662499003	231.07238662499003	241.0586416251026	250.10106758400798	250.1141145839356	251.28299112501554	250.6144534589257	241.58090866706334	image8_2	szemuveg.png	[0.25, 0.25]	243.0720757090021	243.0720757090021	243.0720757090021	243.0720757090021	243.0720757090021	243.0720757090021	243.0720757090021	243.0720757090021	243.0720757090021	243.0720757090021	243.0720757090021	243.0720757090021	243.0720757090021	0.01361895794980228	250.1002277089283	False	[0.6888888888888889]	[-0.29555555555555557]	[1]	[0]	[0]	[7.027449874905869]	['image1_2']	['bogre.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
