pic_num;training_loop.thisRepN;training_loop.thisTrialN;training_loop.thisN;training_loop.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;thisRow.t;notes;intro_text.started;intro_click.started;intro_click.x;intro_click.y;intro_click.leftButton;intro_click.midButton;intro_click.rightButton;intro_click.time;show_images.started;image0_name;image0_position;image1_name;image1_position;image2_name;image2_position;image3_name;image3_position;image4_name;image4_position;image5_name;image5_position;image6_name;image6_position;image7_name;image7_position;image8_name;image8_position;image9_name;image9_position;image10_name;image10_position;image11_name;image11_position;image12_name;image12_position;image0.started;image1.started;image2.started;image3.started;image4.started;image5.started;image6.started;image7.started;image8.started;image9.started;image10.started;image11.started;image12.started;show_images.stopped;blank_screen.started;blank_text.started;blank_text.stopped;blank_screen.stopped;show_images_changed.started;correct_image;correct_image_name;correct_image_pos;image0_2.started;image1_2.started;image2_2.started;image3_2.started;image4_2.started;image5_2.started;image6_2.started;image7_2.started;image8_2.started;image9_2.started;image10_2.started;image11_2.started;image12_2.started;mouse.started;show_images_changed.stopped;is_correct;mouse.x;mouse.y;mouse.leftButton;mouse.midButton;mouse.rightButton;mouse.time;mouse.clicked_name;mouse.clicked_image;feedback.started;feedback_text.started;feedback.stopped;feedback_text.stopped;begin_real_trial.started;text.started;begin_real_trial.stopped;so_long_and_thanks_for_all_the_fish.started;goodbye_text.started;goodbye_click.started;so_long_and_thanks_for_all_the_fish.stopped;goodbye_click.x;goodbye_click.y;goodbye_click.leftButton;goodbye_click.midButton;goodbye_click.rightButton;goodbye_click.time;id;age;date;expName;psychopyVersion;frameRate;expStart
;;;;;;;;;;;;;;;0.035920699941925704;0.02799780003260821;[0.34375];[-0.46296296296296297];[1];[0];[0];[16.97684899996966];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n23;23;2024-05-05_21h06.28.084;visual_memory;2023.02.03;167.3998783642565;2024-05-05 21h06.45.471748 +0200
;;;;;;;;;;;;;83.44353940000292;;;;;;;;;;83.17485569999553;hajszarito.png;[-0.25, -0.75];fagyi.png;[0.25, -0.25];letra.png;[0.75, 0.75];fotel.png;[0.75, 0.25];szemuveg.png;[-0.25, 0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];83.44353940000292;83.44353940000292;83.44353940000292;83.44353940000292;83.44353940000292;83.44353940000292;83.44353940000292;83.44353940000292;83.44353940000292;83.44353940000292;83.44353940000292;83.44353940000292;83.44353940000292;93.16930379997939;93.16932700003963;93.17519859992899;93.92961809993722;93.67268990003504;93.67270460003056;image4_2;fogas.png;[-0.25, 0.25];95.17314410000108;95.17314410000108;95.17314410000108;95.17314410000108;95.17314410000108;95.17314410000108;95.17314410000108;95.17314410000108;95.17314410000108;95.17314410000108;95.17314410000108;95.17314410000108;95.17314410000108;0.004063399974256754;96.23815719992854;True;[-0.23854166666666668];[0.2222222222222222];[1];[0];[0];[1.0641412999248132];['image4_2'];['fogas.png'];96.23897219996434;96.24273820000235;98.23867699992843;98.24424359994009;98.23871259996668;98.24424359994009;106.89551629999187;;;;;;;;;;;n23;23;2024-05-05_21h06.28.084;visual_memory;2023.02.03;167.3998783642565;2024-05-05 21h06.45.471748 +0200
5;;;;;0;0;0;0;0;0;0;0;107.17391230002977;;;;;;;;;;106.90341749996878;auto.png;[0.75, 0.25];ceruza.png;[0.25, 0.25];bogre.png;[0.25, -0.75];esernyo.png;[-0.75, -0.25];kad.png;[-0.25, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];107.17391230002977;107.17391230002977;107.17391230002977;107.17391230002977;107.17391230002977;107.17391230002977;107.17391230002977;107.17391230002977;107.17391230002977;107.17391230002977;107.17391230002977;107.17391230002977;107.17391230002977;116.8924225999508;122.32398139999714;122.32810239994433;123.09438399993815;122.82634269993287;117.3957862999523;image4_2;szemuveg.png;[-0.25, 0.75];118.89618829998653;118.89618829998653;118.89618829998653;118.89618829998653;118.89618829998653;118.89618829998653;118.89618829998653;118.89618829998653;118.89618829998653;118.89618829998653;118.89618829998653;118.89618829998653;118.89618829998653;0.0038748999359086156;122.32253220002167;False;[0.34791666666666665];[-0.7111111111111111];[1];[0];[0];[3.42553750006482];['image2_2'];['bogre.png'];;;;;;;;;;;;;;;;;;n23;23;2024-05-05_21h06.28.084;visual_memory;2023.02.03;167.3998783642565;2024-05-05 21h06.45.471748 +0200
5;;;;;0;0;0;0;1;0;1;0;123.09438399993815;;;;;;;;;;122.82662009994965;macko.png;[0.75, -0.25];esernyo.png;[-0.25, -0.75];bogre.png;[-0.75, 0.75];fotel.png;[-0.75, -0.25];papucs.png;[0.25, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];124.3297572999727;124.3297572999727;124.3297572999727;124.3297572999727;124.3297572999727;124.3297572999727;124.3297572999727;124.3297572999727;124.3297572999727;124.3297572999727;124.3297572999727;124.3297572999727;124.3297572999727;134.3174709000159;137.97849899996072;137.9827051999746;138.74892869999167;138.48071969999;134.82094030000735;image4_2;szemuveg.png;[0.25, -0.25];136.32363779994193;136.32363779994193;136.32363779994193;136.32363779994193;136.32363779994193;136.32363779994193;136.32363779994193;136.32363779994193;136.32363779994193;136.32363779994193;136.32363779994193;136.32363779994193;136.32363779994193;0.006270900019444525;137.977943600039;True;[0.37604166666666666];[-0.3388888888888889];[1];[0];[0];[1.653651100001298];['image4_2'];['szemuveg.png'];;;;;;;;;;;;;;;;;;n23;23;2024-05-05_21h06.28.084;visual_memory;2023.02.03;167.3998783642565;2024-05-05 21h06.45.471748 +0200
5;;;;;0;0;0;0;2;0;2;0;138.74892869999167;;;;;;;;;;138.480982100009;papucs.png;[-0.25, -0.75];ora.png;[-0.25, 0.25];auto.png;[0.25, 0.25];fagyi.png;[0.75, 0.75];kamera.png;[0.25, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];139.98576219996903;139.98576219996903;139.98576219996903;139.98576219996903;139.98576219996903;139.98576219996903;139.98576219996903;139.98576219996903;139.98576219996903;139.98576219996903;139.98576219996903;139.98576219996903;139.98576219996903;149.97412299993448;153.7100150999613;153.71380319993477;154.46909649996087;154.2119829999283;150.47774919995572;image4_2;fogas.png;[0.25, 0.75];151.97710050002206;151.97710050002206;151.97710050002206;151.97710050002206;151.97710050002206;151.97710050002206;151.97710050002206;151.97710050002206;151.97710050002206;151.97710050002206;151.97710050002206;151.97710050002206;151.97710050002206;0.0031150999711826444;153.70932729996275;True;[0.3489583333333333, 0.33125];[0.5296296296296297, 0.7722222222222223];[1, 1];[0, 0];[0, 0];[1.3112168000079691, 1.7315569000784308];['image4_2'];['fogas.png'];;;;;;;;;;;;;;;;;;n23;23;2024-05-05_21h06.28.084;visual_memory;2023.02.03;167.3998783642565;2024-05-05 21h06.45.471748 +0200
5;;;;;0;0;0;0;3;0;3;0;154.46909649996087;;;;;;;;;;154.2122707000235;zokni.png;[-0.25, -0.75];vodor.png;[-0.25, 0.75];ora.png;[-0.25, 0.25];esernyo.png;[0.25, -0.25];alma.png;[-0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];155.7104801000096;155.7104801000096;155.7104801000096;155.7104801000096;155.7104801000096;155.7104801000096;155.7104801000096;155.7104801000096;155.7104801000096;155.7104801000096;155.7104801000096;155.7104801000096;155.7104801000096;165.70434950001072;168.84571459994186;168.84937019995414;169.60955699998885;169.34693739993963;166.20732449996285;image4_2;macko.png;[-0.75, 0.75];167.7107859000098;167.7107859000098;167.7107859000098;167.7107859000098;167.7107859000098;167.7107859000098;167.7107859000098;167.7107859000098;167.7107859000098;167.7107859000098;167.7107859000098;167.7107859000098;167.7107859000098;0.006543800001963973;168.84506840002723;True;[-0.740625];[0.6407407407407407];[1];[0];[0];[1.1336893000407144];['image4_2'];['macko.png'];;;;;;;;;;;;;;;;;;n23;23;2024-05-05_21h06.28.084;visual_memory;2023.02.03;167.3998783642565;2024-05-05 21h06.45.471748 +0200
5;;;;;0;0;0;0;4;0;4;0;169.60955699998885;;;;;;;;;;169.34732389997225;fotel.png;[0.75, -0.75];papucs.png;[-0.25, 0.25];kamera.png;[0.25, 0.25];ora.png;[0.25, -0.75];auto.png;[-0.25, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];170.8550777999917;170.8550777999917;170.8550777999917;170.8550777999917;170.8550777999917;170.8550777999917;170.8550777999917;170.8550777999917;170.8550777999917;170.8550777999917;170.8550777999917;170.8550777999917;170.8550777999917;180.8437518000137;183.93697030004114;183.94092029996682;184.93781219993252;184.43904500000644;181.3480145999929;image4_2;fagyi.png;[-0.25, 0.75];182.84920960001182;182.84920960001182;182.84920960001182;182.84920960001182;182.84920960001182;182.84920960001182;182.84920960001182;182.84920960001182;182.84920960001182;182.84920960001182;182.84920960001182;182.84920960001182;182.84920960001182;0.0056041000643745065;183.93636589997914;True;[-0.23541666666666666];[0.6666666666666666];[1];[0];[0];[1.0864077999722213];['image4_2'];['fagyi.png'];;;;;;;;;;;;;;;;;;n23;23;2024-05-05_21h06.28.084;visual_memory;2023.02.03;167.3998783642565;2024-05-05 21h06.45.471748 +0200
5;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n23;23;2024-05-05_21h06.28.084;visual_memory;2023.02.03;167.3998783642565;2024-05-05 21h06.45.471748 +0200
9;;;;;0;1;1;1;0;0;0;0;184.93781219993252;;;;;;;;;;184.43995000002906;szemuveg.png;[-0.25, -0.75];vodor.png;[0.75, 0.75];esernyo.png;[-0.75, 0.75];fagyi.png;[-0.75, 0.25];ollo.png;[-0.75, -0.25];hajszarito.png;[0.25, -0.25];papucs.png;[-0.25, -0.25];macko.png;[-0.25, 0.25];alma.png;[0.25, 0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];185.94729529996403;185.94729529996403;185.94729529996403;185.94729529996403;185.94729529996403;185.94729529996403;185.94729529996403;185.94729529996403;185.94729529996403;185.94729529996403;185.94729529996403;185.94729529996403;185.94729529996403;195.9349532999331;202.98985030001495;202.9934765000362;203.96124209999107;203.49301889992785;196.4383477999363;image8_2;auto.png;[0.25, 0.25];197.9474024999654;197.9474024999654;197.9474024999654;197.9474024999654;197.9474024999654;197.9474024999654;197.9474024999654;197.9474024999654;197.9474024999654;197.9474024999654;197.9474024999654;197.9474024999654;197.9474024999654;0.01256539998576045;202.98901100002695;False;[-0.190625, -0.19375];[-0.5296296296296297, -0.725925925925926];[1, 1];[0, 0];[0, 0];[4.693122500088066, 5.041000600089319];['image0_2'];['szemuveg.png'];;;;;;;;;;;;;;;;;;n23;23;2024-05-05_21h06.28.084;visual_memory;2023.02.03;167.3998783642565;2024-05-05 21h06.45.471748 +0200
9;;;;;0;1;1;1;1;0;1;0;203.96124209999107;;;;;;;;;;203.49337619997095;laptop.png;[-0.75, 0.25];fogas.png;[-0.25, -0.25];ollo.png;[-0.25, 0.25];bogre.png;[-0.75, -0.25];ceruza.png;[0.75, 0.75];szemuveg.png;[0.25, -0.75];auto.png;[0.75, -0.25];ora.png;[-0.75, 0.75];zokni.png;[-0.25, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];204.9910979999695;204.9910979999695;204.9910979999695;204.9910979999695;204.9910979999695;204.9910979999695;204.9910979999695;204.9910979999695;204.9910979999695;204.9910979999695;204.9910979999695;204.9910979999695;204.9910979999695;214.98539559997153;221.10556589998305;221.10920740000438;222.0503827999346;221.60671459999867;215.48904699995182;image8_2;hajszarito.png;[-0.25, 0.75];216.98838390002493;216.98838390002493;216.98838390002493;216.98838390002493;216.98838390002493;216.98838390002493;216.98838390002493;216.98838390002493;216.98838390002493;216.98838390002493;216.98838390002493;216.98838390002493;216.98838390002493;0.0030647999374195933;221.10472479998134;True;[-0.109375];[0.7240740740740741];[1];[0];[0];[4.115824099979363];['image8_2'];['hajszarito.png'];;;;;;;;;;;;;;;;;;n23;23;2024-05-05_21h06.28.084;visual_memory;2023.02.03;167.3998783642565;2024-05-05 21h06.45.471748 +0200
