pic_num;training_loop.thisRepN;training_loop.thisTrialN;training_loop.thisN;training_loop.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;thisRow.t;notes;intro_text.started;intro_click.started;intro_click.x;intro_click.y;intro_click.leftButton;intro_click.midButton;intro_click.rightButton;intro_click.time;show_images.started;image0_name;image0_position;image1_name;image1_position;image2_name;image2_position;image3_name;image3_position;image4_name;image4_position;image5_name;image5_position;image6_name;image6_position;image7_name;image7_position;image8_name;image8_position;image9_name;image9_position;image10_name;image10_position;image11_name;image11_position;image12_name;image12_position;image0.started;image1.started;image2.started;image3.started;image4.started;image5.started;image6.started;image7.started;image8.started;image9.started;image10.started;image11.started;image12.started;show_images.stopped;blank_screen.started;blank_text.started;blank_text.stopped;blank_screen.stopped;show_images_changed.started;correct_image;correct_image_name;correct_image_pos;image0_2.started;image1_2.started;image2_2.started;image3_2.started;image4_2.started;image5_2.started;image6_2.started;image7_2.started;image8_2.started;image9_2.started;image10_2.started;image11_2.started;image12_2.started;mouse.started;show_images_changed.stopped;is_correct;mouse.x;mouse.y;mouse.leftButton;mouse.midButton;mouse.rightButton;mouse.time;mouse.clicked_name;mouse.clicked_image;feedback.started;feedback_text.started;feedback.stopped;feedback_text.stopped;begin_real_trial.started;text.started;begin_real_trial.stopped;so_long_and_thanks_for_all_the_fish.started;goodbye_text.started;goodbye_click.started;so_long_and_thanks_for_all_the_fish.stopped;goodbye_click.x;goodbye_click.y;goodbye_click.leftButton;goodbye_click.midButton;goodbye_click.rightButton;goodbye_click.time;id;age;date;expName;psychopyVersion;frameRate;expStart
;;;;;;;;;;;;;;;0.03516730002593249;0.027170800021849573;[0.010416666666666666];[-0.2611111111111111];[1];[0];[0];[10.27830680005718];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;p24;24;2024-05-05_21h15.03.996;visual_memory;2023.02.03;163.9148100805292;2024-05-05 21h16.06.154686 +0200
;;;;;;;;;;;;;82.0766187000554;;;;;;;;;;81.80463050003164;kad.png;[0.75, -0.75];bogre.png;[0.75, 0.75];ollo.png;[0.25, -0.75];hajszarito.png;[-0.25, -0.25];letra.png;[-0.75, 0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];82.0766187000554;82.0766187000554;82.0766187000554;82.0766187000554;82.0766187000554;82.0766187000554;82.0766187000554;82.0766187000554;82.0766187000554;82.0766187000554;82.0766187000554;82.0766187000554;82.0766187000554;91.79897879995406;91.79899299994577;91.8048359999666;92.58052930003032;92.30275979998987;92.30277319997549;image4_2;auto.png;[-0.75, 0.25];93.8054783999687;93.8054783999687;93.8054783999687;93.8054783999687;93.8054783999687;93.8054783999687;93.8054783999687;93.8054783999687;93.8054783999687;93.8054783999687;93.8054783999687;93.8054783999687;93.8054783999687;0.0066562999272719026;95.06201550003607;True;[-0.809375];[0.2537037037037037];[1];[0];[0];[1.2558600000338629];['image4_2'];['auto.png'];95.06269449996762;95.06648080004379;97.06282900006045;97.06769850000273;97.06286189996172;97.06769850000273;101.6910773999989;;;;;;;;;;;p24;24;2024-05-05_21h15.03.996;visual_memory;2023.02.03;163.9148100805292;2024-05-05 21h16.06.154686 +0200
5;;;;;0;0;0;0;0;0;0;0;102.01715390000027;;;;;;;;;;101.76634129998274;laptop.png;[0.25, -0.25];fogas.png;[-0.75, -0.25];kad.png;[-0.25, -0.25];esernyo.png;[-0.25, 0.75];ceruza.png;[-0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];102.01715390000027;102.01715390000027;102.01715390000027;102.01715390000027;102.01715390000027;102.01715390000027;102.01715390000027;102.01715390000027;102.01715390000027;102.01715390000027;102.01715390000027;102.01715390000027;102.01715390000027;111.68841830000747;115.04481180000585;115.04893779999111;115.7975829000352;115.54662879998796;112.19232999999076;image4_2;vodor.png;[-0.75, 0.75];113.68982810003217;113.68982810003217;113.68982810003217;113.68982810003217;113.68982810003217;113.68982810003217;113.68982810003217;113.68982810003217;113.68982810003217;113.68982810003217;113.68982810003217;113.68982810003217;113.68982810003217;0.0015266999835148454;115.04404930002056;True;[-0.6083333333333333];[0.6592592592592592];[1];[0];[0];[1.3535455000819638];['image4_2'];['vodor.png'];;;;;;;;;;;;;;;;;;p24;24;2024-05-05_21h15.03.996;visual_memory;2023.02.03;163.9148100805292;2024-05-05 21h16.06.154686 +0200
5;;;;;0;0;0;0;1;0;1;0;115.7975829000352;;;;;;;;;;115.54688469995745;auto.png;[-0.75, 0.25];laptop.png;[0.25, 0.25];ollo.png;[0.75, 0.75];fagyi.png;[0.75, -0.75];szemuveg.png;[0.25, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];117.05454679997638;117.05454679997638;117.05454679997638;117.05454679997638;117.05454679997638;117.05454679997638;117.05454679997638;117.05454679997638;117.05454679997638;117.05454679997638;117.05454679997638;117.05454679997638;117.05454679997638;127.04558479995467;132.7529496999923;132.75729770003818;133.52598339994438;133.25513840001076;127.5482909999555;image4_2;ceruza.png;[0.25, 0.75];129.05139100004453;129.05139100004453;129.05139100004453;129.05139100004453;129.05139100004453;129.05139100004453;129.05139100004453;129.05139100004453;129.05139100004453;129.05139100004453;129.05139100004453;129.05139100004453;129.05139100004453;0.005904800025746226;132.75227609998547;True;[0.17708333333333334];[0.7148148148148148];[1];[0];[0];[3.700230700080283];['image4_2'];['ceruza.png'];;;;;;;;;;;;;;;;;;p24;24;2024-05-05_21h15.03.996;visual_memory;2023.02.03;163.9148100805292;2024-05-05 21h16.06.154686 +0200
5;;;;;0;0;0;0;2;0;2;0;133.52598339994438;;;;;;;;;;133.25558989995625;ceruza.png;[0.75, 0.75];ollo.png;[-0.25, 0.75];letra.png;[0.75, -0.75];bogre.png;[0.25, -0.25];fogas.png;[0.25, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];134.75780470005702;134.75780470005702;134.75780470005702;134.75780470005702;134.75780470005702;134.75780470005702;134.75780470005702;134.75780470005702;134.75780470005702;134.75780470005702;134.75780470005702;134.75780470005702;134.75780470005702;144.75220530002844;147.7753702000482;147.77973920002114;148.5342555999523;148.27738810004666;145.2552159000188;image4_2;auto.png;[0.25, 0.75];146.75642989994958;146.75642989994958;146.75642989994958;146.75642989994958;146.75642989994958;146.75642989994958;146.75642989994958;146.75642989994958;146.75642989994958;146.75642989994958;146.75642989994958;146.75642989994958;146.75642989994958;0.0044003999792039394;147.77474679995794;True;[0.284375];[0.7092592592592593];[1];[0];[0];[1.0175772999646142];['image4_2'];['auto.png'];;;;;;;;;;;;;;;;;;p24;24;2024-05-05_21h15.03.996;visual_memory;2023.02.03;163.9148100805292;2024-05-05 21h16.06.154686 +0200
5;;;;;0;0;0;0;3;0;3;0;148.5342555999523;;;;;;;;;;148.27769140002783;laptop.png;[0.25, -0.25];fotel.png;[0.25, 0.25];macko.png;[-0.75, -0.75];kamera.png;[-0.75, 0.25];esernyo.png;[0.25, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];149.7791887000203;149.7791887000203;149.7791887000203;149.7791887000203;149.7791887000203;149.7791887000203;149.7791887000203;149.7791887000203;149.7791887000203;149.7791887000203;149.7791887000203;149.7791887000203;149.7791887000203;159.7688834000146;165.42961989995092;165.43348570005037;166.19838830002118;165.93127980001736;160.27298879995942;image4_2;fogas.png;[0.25, -0.75];161.77439689997118;161.77439689997118;161.77439689997118;161.77439689997118;161.77439689997118;161.77439689997118;161.77439689997118;161.77439689997118;161.77439689997118;161.77439689997118;161.77439689997118;161.77439689997118;161.77439689997118;0.0056310000363737345;165.42903040000238;True;[0.15625];[-0.725925925925926];[1];[0];[0];[3.6539200000697747];['image4_2'];['fogas.png'];;;;;;;;;;;;;;;;;;p24;24;2024-05-05_21h15.03.996;visual_memory;2023.02.03;163.9148100805292;2024-05-05 21h16.06.154686 +0200
5;;;;;0;0;0;0;4;0;4;0;166.19838830002118;;;;;;;;;;165.93152450001799;fotel.png;[-0.75, -0.75];ollo.png;[-0.75, 0.75];auto.png;[0.25, 0.75];fagyi.png;[0.75, 0.25];alma.png;[-0.25, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];167.4362425999716;167.4362425999716;167.4362425999716;167.4362425999716;167.4362425999716;167.4362425999716;167.4362425999716;167.4362425999716;167.4362425999716;167.4362425999716;167.4362425999716;167.4362425999716;167.4362425999716;177.42630349996034;180.7266430000309;180.73073009995278;181.72684380004648;181.22435879998375;177.93008680001367;image4_2;papucs.png;[-0.25, -0.25];179.43225209997036;179.43225209997036;179.43225209997036;179.43225209997036;179.43225209997036;179.43225209997036;179.43225209997036;179.43225209997036;179.43225209997036;179.43225209997036;179.43225209997036;179.43225209997036;179.43225209997036;0.00604650005698204;180.72612560004927;True;[-0.2125];[-0.19074074074074074];[1];[0];[0];[1.293347500031814];['image4_2'];['papucs.png'];;;;;;;;;;;;;;;;;;p24;24;2024-05-05_21h15.03.996;visual_memory;2023.02.03;163.9148100805292;2024-05-05 21h16.06.154686 +0200
5;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;p24;24;2024-05-05_21h15.03.996;visual_memory;2023.02.03;163.9148100805292;2024-05-05 21h16.06.154686 +0200
9;;;;;0;1;1;1;0;0;0;0;181.72684380004648;;;;;;;;;;181.2251563000027;kamera.png;[-0.75, 0.25];ollo.png;[-0.25, 0.75];vodor.png;[-0.25, 0.25];papucs.png;[0.25, 0.75];fotel.png;[0.75, 0.75];ceruza.png;[0.25, -0.75];laptop.png;[0.25, -0.25];zokni.png;[-0.25, -0.75];letra.png;[-0.25, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];182.74095630005468;182.74095630005468;182.74095630005468;182.74095630005468;182.74095630005468;182.74095630005468;182.74095630005468;182.74095630005468;182.74095630005468;182.74095630005468;182.74095630005468;182.74095630005468;182.74095630005468;192.72183749999385;201.79822520003654;201.8019541000249;202.7246605999535;202.296114900033;193.2259100000374;image8_2;esernyo.png;[-0.25, -0.25];194.72714710002765;194.72714710002765;194.72714710002765;194.72714710002765;194.72714710002765;194.72714710002765;194.72714710002765;194.72714710002765;194.72714710002765;194.72714710002765;194.72714710002765;194.72714710002765;194.72714710002765;0.0054065000731498;201.79728279996198;False;[-0.275];[-0.725925925925926];[1];[0];[0];[7.069557299953885];['image7_2'];['zokni.png'];;;;;;;;;;;;;;;;;;p24;24;2024-05-05_21h15.03.996;visual_memory;2023.02.03;163.9148100805292;2024-05-05 21h16.06.154686 +0200
9;;;;;0;1;1;1;1;0;1;0;202.7246605999535;;;;;;;;;;202.29639889998361;fogas.png;[-0.75, 0.75];letra.png;[0.25, 0.75];zokni.png;[0.25, -0.25];papucs.png;[-0.25, 0.75];ollo.png;[-0.75, 0.25];auto.png;[0.75, 0.75];fagyi.png;[-0.25, -0.25];hajszarito.png;[-0.25, 0.25];vodor.png;[0.75, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];203.80403650004882;203.80403650004882;203.80403650004882;203.80403650004882;203.80403650004882;203.80403650004882;203.80403650004882;203.80403650004882;203.80403650004882;203.80403650004882;203.80403650004882;203.80403650004882;203.80403650004882;213.7966173000168;225.58359379996546;225.58828639995772;226.50070940004662;226.08384680002928;214.30059570004232;image8_2;ora.png;[0.75, -0.75];215.8032410000451;215.8032410000451;215.8032410000451;215.8032410000451;215.8032410000451;215.8032410000451;215.8032410000451;215.8032410000451;215.8032410000451;215.8032410000451;215.8032410000451;215.8032410000451;215.8032410000451;0.006773300003260374;225.58290749997832;True;[0.6552083333333333];[-0.737037037037037];[1];[0];[0];[9.77896809997037];['image8_2'];['ora.png'];;;;;;;;;;;;;;;;;;p24;24;2024-05-05_21h15.03.996;visual_memory;2023.02.03;163.9148100805292;2024-05-05 21h16.06.154686 +0200
