pic_num;training_loop.thisRepN;training_loop.thisTrialN;training_loop.thisN;training_loop.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;thisRow.t;notes;intro_text.started;intro_click.started;intro_click.x;intro_click.y;intro_click.leftButton;intro_click.midButton;intro_click.rightButton;intro_click.time;show_images.started;image0_name;image0_position;image1_name;image1_position;image2_name;image2_position;image3_name;image3_position;image4_name;image4_position;image5_name;image5_position;image6_name;image6_position;image7_name;image7_position;image8_name;image8_position;image9_name;image9_position;image10_name;image10_position;image11_name;image11_position;image12_name;image12_position;image0.started;image1.started;image2.started;image3.started;image4.started;image5.started;image6.started;image7.started;image8.started;image9.started;image10.started;image11.started;image12.started;show_images.stopped;blank_screen.started;blank_text.started;blank_text.stopped;blank_screen.stopped;show_images_changed.started;correct_image;correct_image_name;correct_image_pos;image0_2.started;image1_2.started;image2_2.started;image3_2.started;image4_2.started;image5_2.started;image6_2.started;image7_2.started;image8_2.started;image9_2.started;image10_2.started;image11_2.started;image12_2.started;mouse.started;show_images_changed.stopped;is_correct;mouse.x;mouse.y;mouse.leftButton;mouse.midButton;mouse.rightButton;mouse.time;mouse.clicked_name;mouse.clicked_image;feedback.started;feedback_text.started;feedback.stopped;feedback_text.stopped;begin_real_trial.started;text.started;begin_real_trial.stopped;so_long_and_thanks_for_all_the_fish.started;goodbye_text.started;goodbye_click.started;so_long_and_thanks_for_all_the_fish.stopped;goodbye_click.x;goodbye_click.y;goodbye_click.leftButton;goodbye_click.midButton;goodbye_click.rightButton;goodbye_click.time;id;age;date;expName;psychopyVersion;frameRate;expStart
;;;;;;;;;;;;;;;0.033314500004053116;0.02516769990324974;[0.16770833333333332];[0.19444444444444445];[1];[0];[0];[16.209452799987048];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;egyes;29;2024-05-05_19h43.49.031;visual_memory;2023.02.03;120.04283116110241;2024-05-05 19h44.38.806230 +0200
;;;;;;;;;;;;;90.86425830004737;;;;;;;;;;90.5651817000471;macko.png;[-0.75, 0.25];szemuveg.png;[0.75, -0.75];zokni.png;[-0.75, -0.25];ollo.png;[-0.25, 0.25];bogre.png;[0.25, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];90.86425830004737;90.86425830004737;90.86425830004737;90.86425830004737;90.86425830004737;90.86425830004737;90.86425830004737;90.86425830004737;90.86425830004737;90.86425830004737;90.86425830004737;90.86425830004737;90.86425830004737;100.55640840018168;100.5564283002168;100.56443540006876;101.33910400001332;101.05677110003307;101.05678430013359;image4_2;fotel.png;[0.25, -0.75];102.57257940014824;102.57257940014824;102.57257940014824;102.57257940014824;102.57257940014824;102.57257940014824;102.57257940014824;102.57257940014824;102.57257940014824;102.57257940014824;102.57257940014824;102.57257940014824;102.57257940014824;0.016313800122588873;107.14862590003759;TRUE;[0.3125];[-0.7518518518518519];[1];[0];[0];[4.575372500345111];['image4_2'];['fotel.png'];107.14926540013403;107.16415200009942;109.1558918999508;73.54795770021155;109.15593010000885;109.16411910019815;122.899931400083;;;;;;;;;;;egyes;29;2024-05-05_19h43.49.031;visual_memory;2023.02.03;120.04283116110241;2024-05-05 19h44.38.806230 +0200
5;;;;;0;0;0;0;0;0;0;0;123.23023169999942;;;;;;;;;;122.90816000010818;fagyi.png;[0.75, -0.25];ora.png;[0.25, 0.75];fotel.png;[-0.25, -0.75];alma.png;[-0.25, 0.25];ceruza.png;[-0.75, -0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];123.23023169999942;123.23023169999942;123.23023169999942;123.23023169999942;123.23023169999942;123.23023169999942;123.23023169999942;123.23023169999942;123.23023169999942;123.23023169999942;123.23023169999942;123.23023169999942;123.23023169999942;132.8971970998682;142.59182870015502;142.59607760002837;143.37122800014913;143.08888430008665;133.3973817001097;image4_2;szemuveg.png;[-0.75, -0.75];134.91385470004752;134.91385470004752;134.91385470004752;134.91385470004752;134.91385470004752;134.91385470004752;134.91385470004752;134.91385470004752;134.91385470004752;134.91385470004752;134.91385470004752;134.91385470004752;134.91385470004752;0.016789499670267105;142.59081580024213;TRUE;[-0.6875];[-0.7796296296296297];[1];[0];[0];[7.676157100126147];['image4_2'];['szemuveg.png'];;;;;;;;;;;;;;;;;;egyes;29;2024-05-05_19h43.49.031;visual_memory;2023.02.03;120.04283116110241;2024-05-05 19h44.38.806230 +0200
5;;;;;0;0;0;0;1;0;1;0;143.37122800014913;;;;;;;;;;143.0891946000047;bogre.png;[-0.25, -0.25];kad.png;[0.75, -0.75];ora.png;[0.25, -0.75];alma.png;[0.25, 0.25];esernyo.png;[0.25, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];144.61263390025124;144.61263390025124;144.61263390025124;144.61263390025124;144.61263390025124;144.61263390025124;144.61263390025124;144.61263390025124;144.61263390025124;144.61263390025124;144.61263390025124;144.61263390025124;144.61263390025124;154.58814370026812;158.31535140005872;158.32936129998416;159.19577010022476;158.8215469000861;155.08846609992906;image4_2;papucs.png;[0.25, -0.25];156.61283920006827;156.61283920006827;156.61283920006827;156.61283920006827;156.61283920006827;156.61283920006827;156.61283920006827;156.61283920006827;156.61283920006827;156.61283920006827;156.61283920006827;156.61283920006827;156.61283920006827;0.024836000055074692;158.31449240026996;TRUE;[0.275];[-0.19814814814814816];[1];[0];[0];[1.7009226996451616];['image4_2'];['papucs.png'];;;;;;;;;;;;;;;;;;egyes;29;2024-05-05_19h43.49.031;visual_memory;2023.02.03;120.04283116110241;2024-05-05 19h44.38.806230 +0200
5;;;;;0;0;0;0;2;0;2;0;159.19577010022476;;;;;;;;;;158.82186180027202;alma.png;[-0.75, 0.25];fotel.png;[-0.75, -0.25];auto.png;[0.25, -0.75];papucs.png;[0.75, 0.25];ceruza.png;[0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];160.34602930024266;160.34602930024266;160.34602930024266;160.34602930024266;160.34602930024266;160.34602930024266;160.34602930024266;160.34602930024266;160.34602930024266;160.34602930024266;160.34602930024266;160.34602930024266;160.34602930024266;170.31291550025344;182.61506569990888;182.62016279995441;183.379031999968;183.11277989996597;170.8127580001019;image4_2;fagyi.png;[0.75, 0.75];172.32888450007886;172.32888450007886;172.32888450007886;172.32888450007886;172.32888450007886;172.32888450007886;172.32888450007886;172.32888450007886;172.32888450007886;172.32888450007886;172.32888450007886;172.32888450007886;172.32888450007886;0.016202200204133987;182.61442400002852;FALSE;[-0.765625];[0.3];[1];[0];[0];[10.284633999690413];['image0_2'];['alma.png'];;;;;;;;;;;;;;;;;;egyes;29;2024-05-05_19h43.49.031;visual_memory;2023.02.03;120.04283116110241;2024-05-05 19h44.38.806230 +0200
5;;;;;0;0;0;0;3;0;3;0;183.379031999968;;;;;;;;;;183.1131007000804;esernyo.png;[-0.75, -0.25];laptop.png;[0.25, 0.25];alma.png;[-0.25, -0.75];letra.png;[-0.25, 0.25];kad.png;[-0.75, 0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];184.63642279990017;184.63642279990017;184.63642279990017;184.63642279990017;184.63642279990017;184.63642279990017;184.63642279990017;184.63642279990017;184.63642279990017;184.63642279990017;184.63642279990017;184.63642279990017;184.63642279990017;194.61226610001177;200.72215889999643;200.73649669997394;201.50331500032917;201.22895119991153;195.11230370029807;image4_2;ollo.png;[-0.75, 0.25];196.63672540010884;196.63672540010884;196.63672540010884;196.63672540010884;196.63672540010884;196.63672540010884;196.63672540010884;196.63672540010884;196.63672540010884;196.63672540010884;196.63672540010884;196.63672540010884;196.63672540010884;0.024680699687451124;200.7215044000186;TRUE;[-0.7239583333333334];[0.20555555555555555];[1];[0];[0];[4.083980700001121];['image4_2'];['ollo.png'];;;;;;;;;;;;;;;;;;egyes;29;2024-05-05_19h43.49.031;visual_memory;2023.02.03;120.04283116110241;2024-05-05 19h44.38.806230 +0200
5;;;;;0;0;0;0;4;0;4;0;201.50331500032917;;;;;;;;;;201.22928690025583;szemuveg.png;[-0.75, 0.75];esernyo.png;[-0.25, -0.25];alma.png;[0.75, 0.75];letra.png;[-0.75, -0.75];ora.png;[0.75, -0.25];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];202.7530598999001;202.7530598999001;202.7530598999001;202.7530598999001;202.7530598999001;202.7530598999001;202.7530598999001;202.7530598999001;202.7530598999001;202.7530598999001;202.7530598999001;202.7530598999001;202.7530598999001;212.71997170010582;217.43805229989812;217.44417260028422;218.41920700017363;217.9366517001763;213.22040890017524;image4_2;zokni.png;[0.75, -0.25];214.73599070031196;214.73599070031196;214.73599070031196;214.73599070031196;214.73599070031196;214.73599070031196;214.73599070031196;214.73599070031196;214.73599070031196;214.73599070031196;214.73599070031196;214.73599070031196;214.73599070031196;0.016163199674338102;217.43741049990058;TRUE;[0.775];[-0.31851851851851853];[1];[0];[0];[2.700722999870777];['image4_2'];['zokni.png'];;;;;;;;;;;;;;;;;;egyes;29;2024-05-05_19h43.49.031;visual_memory;2023.02.03;120.04283116110241;2024-05-05 19h44.38.806230 +0200
5;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;egyes;29;2024-05-05_19h43.49.031;visual_memory;2023.02.03;120.04283116110241;2024-05-05 19h44.38.806230 +0200
9;;;;;0;1;1;1;0;0;0;0;218.41920700017363;;;;;;;;;;217.93743940023705;esernyo.png;[0.75, 0.25];laptop.png;[0.25, 0.25];fagyi.png;[0.75, -0.25];ora.png;[-0.25, 0.75];kad.png;[-0.75, -0.25];zokni.png;[0.25, 0.75];ollo.png;[-0.75, 0.75];bogre.png;[-0.75, -0.75];vodor.png;[0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];219.51935019996017;219.51935019996017;219.51935019996017;219.51935019996017;219.51935019996017;219.51935019996017;219.51935019996017;219.51935019996017;219.51935019996017;219.51935019996017;219.51935019996017;219.51935019996017;219.51935019996017;229.43643120024353;234.34749360010028;234.3517307001166;235.39373790007085;234.84473360003904;229.93630379997194;image8_2;letra.png;[0.75, 0.75];231.50233050016686;231.50233050016686;231.50233050016686;231.50233050016686;231.50233050016686;231.50233050016686;231.50233050016686;231.50233050016686;231.50233050016686;231.50233050016686;231.50233050016686;231.50233050016686;231.50233050016686;0.06611610017716885;234.34645330021158;TRUE;[0.746875];[0.7666666666666667];[1];[0];[0];[2.843177800066769];['image8_2'];['letra.png'];;;;;;;;;;;;;;;;;;egyes;29;2024-05-05_19h43.49.031;visual_memory;2023.02.03;120.04283116110241;2024-05-05 19h44.38.806230 +0200
9;;;;;0;1;1;1;1;0;1;0;235.39373790007085;;;;;;;;;;234.84505280014127;auto.png;[0.25, 0.75];bogre.png;[0.75, 0.25];ora.png;[-0.25, -0.25];zokni.png;[-0.75, 0.75];fogas.png;[-0.25, 0.25];laptop.png;[-0.25, 0.75];macko.png;[0.75, -0.75];papucs.png;[0.75, -0.25];kad.png;[0.75, 0.75];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];blank.png;[2, 2];236.37928660027683;236.37928660027683;236.37928660027683;236.37928660027683;236.37928660027683;236.37928660027683;236.37928660027683;236.37928660027683;236.37928660027683;236.37928660027683;236.37928660027683;236.37928660027683;236.37928660027683;246.34392270026729;261.70468239998445;261.7090134001337;262.66773599991575;262.20218000002205;246.84427350014448;image8_2;fotel.png;[0.75, 0.75];248.37754700006917;248.37754700006917;248.37754700006917;248.37754700006917;248.37754700006917;248.37754700006917;248.37754700006917;248.37754700006917;248.37754700006917;248.37754700006917;248.37754700006917;248.37754700006917;248.37754700006917;0.033766299951821566;261.70403670007363;FALSE;[0.821875];[0.23148148148148148];[1];[0];[0];[13.325714800041169];['image1_2'];['bogre.png'];;;;;;;;;;;;;;;;;;egyes;29;2024-05-05_19h43.49.031;visual_memory;2023.02.03;120.04283116110241;2024-05-05 19h44.38.806230 +0200
